-4.434195269261892,-2.3203708773898413	-3.7270884880753443,-2.3203708773898413	-3.7270884880753443,-1.6132640962032938	-4.434195269261892,-1.6132640962032938	
-2.606249017535548,6.659101820725498	-2.1062490175355486,6.659101820725498	-2.1062490175355486,7.159101820725498	-2.606249017535548,7.159101820725498	
-0.10091305584392529,0.7401092103801368	0.6061937253426225,0.7401092103801368	0.6061937253426225,1.4472159915666847	-0.10091305584392529,1.4472159915666847	
4.655642485872917,-0.6765298976851479	5.155642485872917,-0.6765298976851479	5.155642485872917,-0.17652989768514832	4.655642485872917,-0.17652989768514832	
-0.8758016240765922,-2.9765098334528775	-0.16869484289004422,-2.9765098334528775	-0.16869484289004422,-2.2694030522663295	-0.8758016240765922,-2.2694030522663295	
3.3233803311095613,-1.1375545727746008	3.8233803311095604,-1.1375545727746008	3.8233803311095604,-0.6375545727746016	3.3233803311095613,-0.6375545727746016	
-5.032639935495057,-1.3908259191522054	-4.325533154308508,-1.3908259191522054	-4.325533154308508,-0.6837191379656565	-5.032639935495057,-0.6837191379656565	
2.7005807355710836,0.5804467452542843	3.2005807355710827,0.5804467452542843	3.2005807355710827,1.0804467452542836	2.7005807355710836,1.0804467452542836	
-9.09799612635715,-1.4276934916715796	-8.59799612635715,-1.4276934916715796	-8.59799612635715,-0.9276934916715802	-9.09799612635715,-0.9276934916715802	
-5.390601154166474,-2.9882617404338525	-4.6834943729799265,-2.9882617404338525	-4.6834943729799265,-2.2811549592473055	-5.390601154166474,-2.2811549592473055	
0.5771039513980938,1.6022948400108241	1.2842107325846426,1.6022948400108241	1.2842107325846426,2.309401621197373	0.5771039513980938,2.309401621197373	
-6.958055262174899,-2.905683026692767	-6.4580552621748994,-2.905683026692767	-6.4580552621748994,-2.405683026692768	-6.958055262174899,-2.405683026692768	
2.329061223854062,4.968270746093385	2.447095212603957,4.968270746093385	2.447095212603957,5.08630473484328	2.329061223854062,5.08630473484328	
3.835720090343788,-0.3872388074934392	3.9537540790936827,-0.3872388074934392	3.9537540790936827,-0.2692048187435444	3.835720090343788,-0.2692048187435444	
0.9067722691128566,2.7953107338325456	1.613879050299404,2.7953107338325456	1.613879050299404,3.502417515019093	0.9067722691128566,3.502417515019093	
-0.14578933622570212,-6.138308405556263	0.3542106637742979,-6.138308405556263	0.3542106637742979,-5.638308405556263	-0.14578933622570212,-5.638308405556263	
-0.007065974635279915,-6.9308885031281315	0.4929340253647201,-6.9308885031281315	0.4929340253647201,-6.4308885031281315	-0.007065974635279915,-6.4308885031281315	
-3.7501218378274324,7.9647375021656295	-3.2501218378274324,7.9647375021656295	-3.2501218378274324,8.46473750216563	-3.7501218378274324,8.46473750216563	
-10.59173609252248,-1.8520080128601268	-9.884629311335932,-1.8520080128601268	-9.884629311335932,-1.1449012316735794	-10.59173609252248,-1.1449012316735794	
0.8065744008482625,4.942347364048173	0.9246083895981574,4.942347364048173	0.9246083895981574,5.060381352798068	0.8065744008482625,5.060381352798068	
-4.3419776861360955,-2.9409178894349113	-3.841977686136096,-2.9409178894349113	-3.841977686136096,-2.4409178894349117	-4.3419776861360955,-2.4409178894349117	
-0.49454646082154596,-4.211162743267108	0.005453539178453648,-4.211162743267108	0.005453539178453648,-3.7111627432671086	-0.49454646082154596,-3.7111627432671086	
-1.0291625646927915,-4.67130463279465	-0.5291625646927923,-4.67130463279465	-0.5291625646927923,-4.171304632794651	-1.0291625646927915,-4.171304632794651	
-0.002492456437799717,5.262800466204116	0.49750754356219956,5.262800466204116	0.49750754356219956,5.762800466204115	-0.002492456437799717,5.762800466204115	
3.3046917081274927,-1.7761006631151046	3.804691708127492,-1.7761006631151046	3.804691708127492,-1.2761006631151053	3.3046917081274927,-1.2761006631151053	
-9.557893956580534,-2.142992707359438	-8.850787175393988,-2.142992707359438	-8.850787175393988,-1.4358859261728911	-9.557893956580534,-1.4358859261728911	
4.290195090821882,0.5908782417327902	4.408229079571777,0.5908782417327902	4.408229079571777,0.7089122304826855	4.290195090821882,0.7089122304826855	
2.9893176172029037,0.3921407080752841	3.1073516059527986,0.3921407080752841	3.1073516059527986,0.5101746968251789	2.9893176172029037,0.5101746968251789	
-4.877948230721669,-2.194004512928273	-4.759914241971774,-2.194004512928273	-4.759914241971774,-2.075970524178378	-4.877948230721669,-2.075970524178378	
1.32406423810518,1.3065150150254148	1.82406423810518,1.3065150150254148	1.82406423810518,1.8065150150254148	1.32406423810518,1.8065150150254148	
-9.695482362116804,-0.8145058269703753	-9.195482362116804,-0.8145058269703753	-9.195482362116804,-0.3145058269703753	-9.695482362116804,-0.3145058269703753
