-1.1122361069511442,30.21535961341211	-1.4024909799380778,31.172308989663197	-2.359440356189162,30.88205411667626	-2.0691854832022285,29.925104740425176	
-44.910368729419005,108.0638648627666	-43.12889789490042,114.83338195527472	-44.09597176525872,115.08787778877738	-45.87744259977731,108.31836069626925	
-104.34776715126088,166.11878004977513	-105.87225654898722,172.95075868529645	-106.84825349691884,172.73297448562127	-105.3237640991925,165.90099585009995	
-49.44131273912461,107.86109512884656	-47.44229088411599,107.92363809965768	-47.50483385492711,109.9226599546663	-49.50385570993573,109.86011698385518	
-117.7597427924131,177.3693198668556	-115.53386269605387,177.6978891847047	-115.862432013903,179.92376928106395	-118.08831211026224,179.5951999632148	
-61.76077702324011,124.12784921827755	-66.7168755057096,124.78897540295306	-66.84910074264471,123.79775570645916	-61.89300226017521,123.13662952178365	
-55.48566887695934,104.46252711973841	-57.445260347749574,103.35685932713244	-56.3395925551436,101.3972678563422	-54.38000108435337,102.50293564894818	
-62.81425862899809,106.16860991811288	-64.39983427077817,104.94961447751695	-63.180838830182246,103.36403883573686	-61.59526318840216,104.5830342763328	
-29.927606517306586,78.3561961341993	-32.23663283577376,76.44089003317369	-30.32132673474816,74.13186371470651	-28.01230041628098,76.04716981573212	
-40.073129657097255,87.39020011361187	-40.54370855520242,86.50784219266475	-39.66135063425531,86.03726329455958	-39.19077173615013,86.9196212155067	
-48.82206325628556,89.39590752637243	-49.4369281490697,90.18453999059233	-50.225560613289595,89.56967509780817	-49.610695720505454,88.78104263358829	
9.640407168641985,27.35078934979542	6.662688879836831,33.68586581283162	0.327612416800628,30.708147524026472	3.3053307056057806,24.373071060990267	
-11.675279008081532,44.49100103750739	-13.298080750123821,51.043024732979234	-19.850104445595665,49.42022299093694	-18.227302703553374,42.8681992954651	
-105.13134763884469,188.77403012905881	-102.8839539485208,188.66576378760243	-102.77568760706441,190.91315747792632	-105.02308129738832,191.0214238193827	
-80.85219015263452,126.87287911961873	-81.21426548974372,128.06929102622	-82.41067739634498,127.70721568911078	-82.04860205923578,126.51080378250953	
-76.99239630785996,152.7494838262858	-75.77438952559832,153.6249605412044	-76.64986624051691,154.842967323466	-77.86787302277855,153.96749060854745	
-61.351550430896495,119.75305537793274	-62.487892933328204,118.7739099764896	-61.508747531885064,117.63756747405789	-60.372405029453354,118.61671287550104	
-33.980021802273285,96.06787971437036	-35.24671470825802,93.34841486224818	-32.52724985613583,92.08172195626344	-31.2605569501511,94.80118680838562	
-19.432545927735973,83.83820950210489	-20.43184649379318,83.87560440386623	-20.469241395554533,82.87630383780903	-19.469940829497325,82.83890893604767	
-109.79114259343294,178.99559870803898	-108.8232825357508,178.7441093270633	-108.57179315477512,179.71196938474546	-109.53965321245727,179.96345876572113	
-78.42535204272701,133.4222215308587	-78.09371112469276,132.217018518298	-76.88850811213206,132.54865943633226	-77.22014903016631,133.75386244889296	
-67.71154295140266,146.16936359929147	-71.98783136150277,143.57834884949872	-71.46962841154422,142.7230911674787	-67.19334000144411,145.31410591727146	
-73.02054241786348,113.01510867051623	-68.79112365393956,108.75928713767814	-67.37251647632687,110.16909339231944	-71.60193524025078,114.42491492515754	
-91.48897418016398,141.27121541088349	-79.25272864123686,141.8515559239325	-79.83306915428587,154.08780146285963	-92.06931469321299,153.50746094981062	
6.952232485811891,21.838876213332227	6.705771507490496,22.80802892893739	5.736618791885333,22.561567950615995	5.983079770206728,21.592415235010833	
-106.3005211812689,183.59612060220854	-106.81624227482652,184.4528771333536	-107.6729988059716,183.93715603979598	-107.15727771241397,183.0803995086509	
-19.614633165286293,55.38033808111437	-20.909083697992433,58.086700550994706	-23.61544616787277,56.79225001828856	-22.32099563516663,54.08588754840823	
-98.84875446144954,182.83298451894606	-99.2289360449314,184.28400552623066	-100.679957052216,183.90382394274883	-100.29977546873415,182.4528029354642	
-61.80297516767669,111.13754944389174	-61.02062491363506,114.03374144028994	-63.916816910033255,114.81609169433158	-64.6991671640749,111.91989969793337	
-101.66439955534274,175.0597389830119	-101.58739541695046,176.05676975619318	-102.58442619013175,176.13377389458546	-102.66143032852402,175.13674312140418	
-46.596991604490825,111.75064692756175	-48.101817025750634,104.9143101561958	-47.12519748698407,104.69933509601583	-45.62037206572426,111.53567186738178	
-92.28888284779217,137.72441604023058	-85.59581190604942,139.77448954349794	-85.88867954937334,140.73064253517546	-92.58175049111607,138.6805690319081	
-73.74979452684657,128.4854519651828	-71.98176631243682,129.4203724072799	-72.91668675453393,131.18840062168965	-74.68471496894368,130.25348017959254	
20.516802430847804,9.461776278667658	20.415724787503265,10.456654819001058	19.420846247169866,10.355577175656519	19.521923890514405,9.36069863532312	
-44.68796204751217,94.93913508026831	-45.564589522178494,101.63196887998724	-52.25742332189743,100.75534140532092	-51.380795847231106,94.062507605602	
-58.38678563903052,104.84803140555724	-67.05583412953528,113.14547669126277	-68.43874167715288,111.70063527617864	-59.76969318664811,103.40318999047311	
-43.53236763595157,87.34079878618927	-43.1212449271736,86.42921877416231	-42.20966491514665,86.84034148294029	-42.62078762392462,87.75192149496725	
4.002099852412812,50.42457536423316	2.720157360821301,53.681356512583804	-0.5366237875293436,52.39941402099229	0.745318704062166,49.14263287264165	
-29.90189649021147,59.01433729036146	-30.121202596217152,58.03868118708089	-29.145546492936585,57.81937508107521	-28.9262403869309,58.79503118435578	
-115.37530441662352,179.5028602685995	-115.5432880148898,177.50992737692616	-113.55035512321645,177.34194377865987	-113.38237152495017,179.33487667033322	
1.373280079847575,24.6092557616998	0.5988697039429999,23.628037860471263	1.580087605171538,22.853627484566687	2.3544979810761117,23.834845385795223	
-121.13615419096782,180.3752947134356	-119.80141880488026,178.56394674876242	-117.99007084020707,179.89868213484996	-119.32480622629463,181.71003009952315	
-58.458959282138935,119.12137357312382	-57.998485158721564,116.15692361037136	-55.03403519596912,116.61739773378874	-55.49450931938648,119.58184769654119	
-71.30165266137317,118.04428494576074	-72.58385426084142,119.89319247679659	-74.43276179187727,118.61099087732833	-73.15056019240902,116.76208334629248	
-72.63478165323883,132.06962910550382	-70.81754383198141,131.23437662811057	-69.98229135458816,133.051614449368	-71.79952917584559,133.88686692676126	
-32.88275042807952,70.05132848682193	-34.29432183314753,72.6984903950539	-36.9414837413795,71.28691898998589	-35.52991233631149,68.63975708175391	
-39.696376019684706,70.31822795426528	-38.388206476864895,68.80538544850383	-36.87536397110344,70.11355499132364	-38.18353351392325,71.6263974970851	
-11.703359072525089,36.63863880378115	-10.89857430372267,36.045072062880315	-10.305007562821837,36.84985683168273	-11.109792331624254,37.44342357258357	
-101.827581572486,183.48127135722342	-100.99016188798292,184.02783175828333	-101.53672228904284,184.86525144278642	-102.37414197354592,184.31869104172648	
19.118290963252406,19.800275925593922	18.57275108375763,18.96219106122706	19.410835948124493,18.41665118173228	19.95637582761927,19.254736046099147	
-121.07976241792721,186.55242135485472	-121.79381531164861,188.42060990662569	-123.66200386341959,187.70655701290428	-122.94795096969817,185.8383684611333	
-77.48526901007932,135.3657030353778	-75.6993878324007,134.46535398128086	-74.79903877830377,136.25123515895947	-76.58491995598239,137.15158421305642	
-113.38883533367235,171.01015124861837	-113.58918882147636,171.9898749239089	-114.56891249676687,171.78952143610488	-114.36855900896288,170.80979776081438	
-4.625507071464924,52.473967987469486	0.015497622692923763,54.33436456583788	-0.35658169298075393,55.262565504669446	-4.997586387138602,53.40216892630106	
-108.98170982222817,169.59270163195188	-105.73572661439596,175.5109862664107	-111.65401124885477,178.7569694742429	-114.89999445668698,172.8386848397841	
-56.38757331967628,112.22255222745959	-51.36151113046366,108.94555682462985	-48.084515727633914,113.97161901384246	-53.11057791684653,117.24861441667221	
24.479076790491348,11.96489188072369	23.58292291699774,11.521148446944208	24.026666350777223,10.6249945734506	24.92282022427083,11.068738007230083	
-30.882940616267305,92.0616242351493	-33.61973271941866,90.83281628264884	-32.3909247669182,88.09602417949748	-29.654132663766838,89.32483213199794	
-119.285740253685,176.57083732854068	-118.49767587487703,175.95524449650475	-117.88208304284112,176.74330887531272	-118.67014742164908,177.35890170734865	
-97.61637714531167,175.8829771888662	-96.54947148902293,177.5746368238339	-98.24113112399066,178.64154248012264	-99.3080367802794,176.94988284515492	
-0.09319366229618709,59.12900744175749	-1.4793191719687089,60.570761953259044	-2.9210736834702655,59.18463644358652	-1.5349481737977437,57.74288193208496	
-31.315300557690648,64.26342743188343	-33.04412349653325,65.26899754188652	-34.049693606536344,63.540174603043916	-32.32087066769374,62.534604493040824	
-7.4351295917880975,62.590789355499304	-6.691597983384042,63.259490146065666	-7.360298773950406,64.00302175446973	-8.103830382354461,63.33432096390336	
-79.01223392653131,133.87947588473872	-79.9244227167493,133.4697056918249	-79.51465252383548,132.5575169016069	-78.60246373361748,132.96728709452074	
-44.03091234194119,98.73887090687066	-42.105841281621366,99.28118208388909	-42.64815245863979,101.20625314420892	-44.573223518959615,100.66394196719048	
-99.6037566700619,149.54384102376642	-100.43908506335214,147.7266380974637	-98.62188213704943,146.89130970417347	-97.78655374375919,148.70851263047618	
-12.169431099032337,75.88840012441433	-13.157494667265055,75.73435342652299	-13.003447969373708,74.74628985829027	-12.015384401140988,74.90033655618161	
-78.90160701318034,148.0433484328915	-77.17729845903544,147.0300567620964	-76.16400678824033,148.75436531624126	-77.88831534238523,149.7676569870364	
-33.30309836659225,97.57641200743934	-33.29345435721487,98.57636550289958	-34.293407852675095,98.58600951227696	-34.30305186205248,97.58605601681673	
1.3048596287227383,57.06469808536135	1.9936074253794072,55.732171735677944	3.326133775062813,56.420919532334615	2.6373859784061446,57.75344588201802	
-12.949824852737649,51.766436496351695	-11.997432018315244,52.07131005857194	-12.302305580535487,53.023702892994336	-13.25469841495789,52.7188293307741	
-73.24869181815299,142.08309021140911	-74.46693114697234,141.8031028229114	-74.18694375847464,140.58486349409205	-72.96870442965529,140.86485088258976	
-29.92866547203421,83.91371110443735	-23.337484151580025,82.45809137356812	-21.881864420710798,89.04927269402232	-28.473045741164984,90.50489242489154	
0.860299855469691,15.011342642653409	1.1418304026727601,17.998103522099825	-1.8449304767736576,18.279634069302894	-2.1264610239767268,15.292873189856477	
-22.71139675214222,75.98564408773858	-21.713229920174225,75.92512156664955	-21.65270739908519,76.92328839861754	-22.650874231053187,76.98381091970657	
-13.349207243521008,57.85754320268756	-10.36471908040786,50.435088729655234	-9.43691227127882,50.80814975004438	-12.421400434391968,58.2306042230767	
-26.73797709322983,56.844426669575746	-27.068877246737348,54.87199033640585	-25.096440913567456,54.54109018289833	-24.765540760059935,56.513526516068225	
-103.20991564890322,176.32545371204893	-102.25172495212483,178.0809794420248	-104.0072506821007,179.0391701388032	-104.96544137887909,177.2836444088273	
-70.12516583416519,142.07144491372162	-69.27606283114392,141.54321760445006	-68.74783552187237,142.39232060747133	-69.59693852489364,142.9205479167429	
-38.31259228662272,77.01905980405081	-37.15842399141409,75.38569041951612	-35.52505460687941,76.53985871472476	-36.679222902088036,78.17322809925945	
11.827795264754883,21.709501271279642	13.623137462273373,24.11298757118016	11.219651162372857,25.90832976869865	9.424308964854367,23.504843468798132	
-93.59785719817003,177.44981413111535	-93.56285578214575,176.20030426685804	-92.31334591788846,176.23530568288234	-92.34834733391273,177.48481554713962	
-49.16262855394318,119.23385989745613	-50.59467041374144,116.59771572238043	-47.95852623866575,115.16567386258217	-46.52648437886748,117.80181803765787	
17.304961807377254,12.74173122992253	17.473016506771902,13.727508901617002	16.48723883507743,13.895563601011652	16.319184135682782,12.909785929317179	
-119.02761348689748,189.92673646276862	-119.901988314235,189.441485330551	-119.41673718201739,188.56711050321348	-118.54236235467987,189.05236163543108	
-12.634373969490468,36.749739020203045	-12.637073735964893,37.749735375826894	-13.637070091588743,37.74703560935247	-13.63437032511432,36.74703925372862	
3.345892147159617,18.863180831165877	2.912267233785014,19.764274297184173	2.0111737677667167,19.330649383809572	2.44479868114132,18.429555917791273	
-61.83094554194244,100.23288105999373	-60.64377748129649,99.31602120386405	-59.72691762516681,100.50318926451001	-60.914085685812765,101.42004912063969	
-65.995364183698,132.7020624783183	-63.57207679704853,139.26922916127265	-70.13924348000288,141.69251654792214	-72.56253086665235,135.12534986496777	
-46.95288460882324,79.68766198617666	-46.43561946175648,80.54348718306561	-47.291444658645425,81.06075233013237	-47.80870980571218,80.20492713324343	
-14.632583025989234,56.5923688975731	-14.78854020288114,57.58013271497882	-15.776304020286855,57.42417553808691	-15.620346843394946,56.43641172068119	
-57.45915041409651,107.74874673538025	-57.80673938981068,109.7183106221232	-59.77630327655363,109.37072164640904	-59.42871430083946,107.40115775966609	
-109.89082341154628,193.10725117719437	-111.79134933770746,192.48435375065512	-111.16845191116822,190.58382782449397	-109.26792598500704,191.2067252510332	
-35.36235022879893,98.21538401962962	-38.361240227865096,98.29698532783554	-38.44284153607102,95.29809532876938	-35.44395153700486,95.21649402056346	
-24.800890824930818,78.718622771138	-25.805495581336267,81.5454176493362	-28.632290459534463,80.54081289293075	-27.62768570312901,77.71401801473255	
-67.38837604609571,121.70075200699982	-67.84232774540995,118.73529624865681	-64.87687198706693,118.28134454934258	-64.4229202877527,121.24680030768559	
-117.70417966968682,169.15873839738967	-115.70741888529527,169.2725205133659	-115.82120100127149,171.26928129775743	-117.81796178566304,171.1554991817812	
-45.17638202576754,105.34782758829803	-44.87197024921498,104.39528705357202	-43.91942971448897,104.69969883012458	-44.223841491041526,105.65223936485059	
-110.54348564286592,165.5827704830926	-113.21259580996197,164.21315341401655	-111.84297874088593,161.5440432469205	-109.17386857378987,162.91366031599654	
-97.45911425924416,152.89749196978568	-99.56823969239458,150.7640464215614	-97.4347941441703,148.65492098841096	-95.32566871101987,150.78836653663524	
-62.608212156880384,127.32444977126242	-63.46371043002678,129.13224475539187	-65.27150541415621,128.27674648224544	-64.41600714100981,126.46895149811603	
-10.268515004832281,50.277789121312686	-11.188106253117486,50.670665610908664	-11.580982742713465,49.75107436262346	-10.661391494428262,49.358197873027486	
-72.8383539783251,132.4177798898744	-73.50165617544803,133.16613154203526	-74.2500078276089,132.50282934491233	-73.58670563048597,131.75447769275146	
-98.84078426272599,154.94900495081149	-98.6821853193848,158.44540972931912	-102.17859009789245,158.6040086726603	-102.33718904123363,155.10760389415267	
-53.88769093172998,97.93739218243452	-56.81192449230818,98.60736090050135	-57.48189321037501,95.68312733992315	-54.55765964979681,95.01315862185632	
-32.55691624583878,66.24065507711973	-29.97272281174459,67.76444781078939	-31.49651554541426,70.34864124488358	-34.080708979508444,68.82484851121392	
-41.437112308096104,95.54341841865671	-40.326297535547276,97.20657521856684	-41.98945433545741,98.31738999111568	-43.10026910800623,96.65423319120553	
-64.67010081127026,102.94402158391317	-64.94790840920103,103.90465831990234	-65.9085451451902,103.62685072197156	-65.63073754725943,102.6662139859824	
-81.82061653180753,161.52241305026615	-83.72045586949545,162.14740144293717	-84.34544426216647,160.24756210524924	-82.44560492447854,159.62257371257823	
-84.5411002995956,157.20123222292952	-82.58967816197038,156.76310936255098	-82.15155530159186,158.7145315001762	-84.10297743921707,159.15265436055472	
-44.24845924558569,91.9333582116547	-45.42444037851615,92.35711330010982	-45.848195466971255,91.18113216717936	-44.672214334040795,90.75737707872425	
-106.6941691113481,186.10372283117104	-107.53827495285793,185.56754624801118	-107.00209836969807,184.72344040650134	-106.15799252818825,185.25961698966123	
-70.09016481346212,149.5456260444237	-70.60143864936492,148.68620818056397	-69.74202078550518,148.17493434466115	-69.23074694960238,149.03435220852091	
-29.106388142857767,94.61526907114641	-29.557207728844233,95.50788416226408	-30.449822819961895,95.05706457627761	-29.99900323397543,94.16444948515995	
13.815172911515361,17.51034799839632	14.548374789541407,16.83033696461887	15.22838582331886,17.563538842644913	14.495183945292814,18.243549876422367	
5.657079478240178,51.98465631876885	4.54729939352889,50.320808920844925	6.211146791452812,49.211028836133636	7.3209268761640995,50.87487623405756	
-9.025273038357227,49.190370764072306	-10.015388920125202,49.05011905937385	-9.875137215426745,48.06000317760587	-8.885021333658768,48.20025488230433	
-74.26299835002735,140.22376321915883	-75.88541778445546,139.0542525613237	-74.71590712662031,137.43183312689558	-73.0934876921922,138.60134378473072	
-117.11969186780306,192.4978705414822	-116.9198503131288,191.5180423151969	-115.94002208684351,191.71788386987117	-116.13986364151776,192.69771209615647	
-36.228976221104105,103.74664154208847	-36.543562783731254,104.95640817025046	-37.75332941189325,104.64182160762331	-37.4387428492661,103.43205497946131	
-47.21160457914523,86.76965442424623	-45.55386941419488,85.6507647411733	-44.434979731121956,87.30849990612366	-46.09271489607231,88.42738958919658	
-114.43204721039213,181.64954693967016	-114.86360466701616,179.69666236509025	-112.91072009243624,179.2651049084662	-112.4791626358122,181.21798948304613	
4.817870884207508,37.603681562650245	3.840872787538472,37.39043354013871	4.054120810050006,36.41343544346967	5.031118906719044,36.62668346598121	
-79.37822446331732,140.41469089683443	-78.76539678214037,141.20490747042885	-79.55561335573478,141.81773515160577	-80.16844103691173,141.02751857801138	
-56.056998477028586,129.49585207622238	-55.61434616643333,130.9290509221348	-57.04754501234574,131.37170323273006	-57.490197322941,129.93850438681764	
-20.94385589470116,71.01016126404785	-20.63653869139351,72.98640925874669	-22.612786686092345,73.29372646205434	-22.920103889399993,71.3174784673555	
-58.05377468523852,122.29380403442313	-59.24331818623466,121.90976463639495	-58.859278788206474,120.72022113539882	-57.66973528721034,121.104260533427	
-52.503107142350345,91.80214802493015	-52.55433437803157,94.80171062143059	-55.55389697453201,94.75048338574936	-55.502669738850784,91.75092078924892	
-103.10999899312488,160.37675297872892	-102.12544351695053,160.2016800958055	-101.95037063402712,161.18623557197986	-102.93492611020147,161.36130845490325	
18.083778764848688,33.27822587056734	16.43316822287477,40.08083454950254	9.630559543939565,38.43022400752862	11.281170085913484,31.62761532859342	
-6.910879247126232,32.993668331273746	-8.615078598430875,31.946909251536276	-7.568319518693405,30.24270990023163	-5.86412016738876,31.289468979969104	
-108.65499090906262,182.03653491526975	-108.80389909139734,183.0253859420851	-109.7927501182127,182.87647775975037	-109.64384193587797,181.88762673293505	
-9.394320697734003,35.99864686302443	-10.075234003344484,34.11812643765208	-8.19471357797213,33.437213132041606	-7.513800272361651,35.31773355741395	
-103.71191205644016,160.84992303100873	-106.33718093748335,159.39804035591882	-104.88529826239346,156.77277147487564	-102.26002938135026,158.22465414996552	
-47.52717953082086,103.6383589472592	-46.06450053278165,102.27433176692334	-44.70047335244578,103.73701076496255	-46.16315235048499,105.10103794529842	
-102.75668844604239,166.0856298739798	-98.2735522226924,159.45980995468776	-97.4453247327809,160.0202019826065	-101.92846095613088,166.64602190189854	
-11.299663789504834,56.60755756815862	-9.364417894449087,57.11235785111207	-9.869218177402537,59.047603746167816	-11.804464072458284,58.54280346321436	
-42.07938949031252,90.46455172055741	-43.68294621720094,89.26930872281557	-42.4877032194591,87.66575199592715	-40.88414649257068,88.860994993669	
-97.42580287794883,179.65181992612935	-95.59899128332819,180.46592028711663	-96.41309164431546,182.29273188173727	-98.2399032389361,181.47863152074999	
-0.5169882539588571,24.27395410403185	0.8532740489491912,25.730793567126234	-0.6035654141451924,27.101055870034283	-1.9738277170532406,25.6442164069399	
-107.0864898481588,179.72342640619095	-107.96459372679021,179.2449563670741	-107.48612368767337,178.3668524884427	-106.60801980904196,178.84532252755955	
-60.06745693081106,97.88782448714649	-59.183897994744676,96.0935771222335	-57.38965062983168,96.97713605829988	-58.273209565898064,98.77138342321288	
-42.86928633617458,107.32524664968146	-40.15508309007749,106.04731835009811	-38.87715479049414,108.76152159619521	-41.59135803659123,110.03944989577856	
-36.10084158699968,100.4909086507463	-34.48003648780335,98.93030273302743	-32.91943057008447,100.55110783222375	-34.540235669280804,102.11171374994264	
17.757797581254238,21.602292813694703	18.75325365903016,21.507070982064686	18.848475490660178,22.50252705984061	17.853019412884255,22.597748891470626	
-30.61771282107692,71.20692173736826	-30.06300127463854,70.0867453672158	-28.94282490448608,70.64145691365418	-29.49753645092446,71.76163328380665	
-35.329712067186435,78.66069150825437	-36.15483051472303,79.22565128340194	-36.71979028987061,78.40053283586536	-35.89467184233401,77.83557306071778	
-12.412784871794983,61.75380783138369	-12.11154660322166,62.7073567318324	-13.06509550367037,63.00859500040573	-13.366333772243694,62.05504609995701	
-0.4433203837294286,31.003240216989767	-1.0757969476570934,30.22866072069371	-0.30121745136103695,29.596184156766043	0.3312591125666291,30.370763653062102	
-77.38348659010484,131.28908810715097	-76.40975712239077,131.06138012813997	-76.18204914337977,132.03510959585404	-77.15577861109384,132.26281757486504	
-120.2334496625031,173.87352979954528	-118.23368696979189,173.90433844833746	-118.26449561858408,175.90410114104867	-120.2642583112953,175.8732924922565	
-128.60675898952277,182.68140999811968	-125.75306522250769,181.75597394733106	-124.82762917171905,184.60966771434613	-127.68132293873414,185.53510376513475	
-22.864805446917813,80.28637778653355	-23.82294914649304,80.57266549315801	-24.10923685311751,79.6145217935828	-23.15109315354228,79.32823408695832	
-73.88570320298021,148.80493741317542	-74.58787651229454,146.93225146948743	-72.71519056860654,146.23007816017312	-72.01301725929223,148.1027641038611	
-34.250693248868785,75.30821408626903	-32.89841573788632,75.95732542748182	-33.547527079099105,77.30960293846428	-34.89980459008157,76.6604915972515	
-69.44796613913134,124.91005816801133	-67.53874615002061,125.50577541065255	-68.13446339266183,127.41499539976327	-70.04368338177255,126.81927815712206	
-49.83235812254871,122.65963956132093	-53.28702381688919,117.75400148454162	-51.651811124629425,116.6024462530948	-48.19714543028894,121.50808432987411	
-61.02554659531775,124.74073740084147	-59.04157693754301,124.48802333904595	-58.78886287574749,126.47199299682069	-60.772832533522234,126.7247070586162	
-46.43525233475283,112.84291467857456	-45.51225887768359,113.22773032041799	-45.89707451952703,114.15072377748723	-46.82006797659627,113.7659081356438	
-17.323428119769147,73.66189963136242	-11.927836152531519,62.94333688614882	-10.141409028329253,63.84260221402176	-15.537000995566881,74.56116495923536	
-101.20263395342589,180.32596015798978	-99.2027152886164,180.30792313643258	-99.1846782670592,182.30784180124206	-101.18459693186868,182.32587882279927	
-63.810490826691506,130.15915766086349	-63.43945826308181,129.23053780497992	-62.51083840719824,129.60157036858962	-62.88187097080794,130.5301902244732	
-59.352715851890395,121.93234244962021	-59.17320304284292,122.91609808563348	-60.1569586788562,123.09561089468096	-60.33647148790367,122.11185525866769	
-83.90982710522411,155.942027947967	-84.63503914090232,155.2535023469125	-83.94651353984781,154.5282903112343	-83.2213015041696,155.21681591228878	
-92.39693689260717,145.9330417304349	-93.42227690173168,147.6502132028536	-95.13944837415036,146.6248731937291	-94.11410836502586,144.9077017213104	
-65.29657482343774,133.5774418611311	-65.7191001885752,131.62258321769534	-63.76424154513945,131.20005785255788	-63.34171618000199,133.15491649599363	
-124.78821371216567,179.8523944966845	-122.9658890713903,179.02829929367522	-122.14179386838101,180.8506239344506	-123.96411850915639,181.67471913745987	
-71.00173478123563,128.5156393028115	-69.04526680757738,128.1006295823837	-68.63025708714956,130.05709755604195	-70.58672506080781,130.47210727646976	
-41.41648788710273,80.3627892504601	-40.16728115479507,81.19314010398962	-40.9976320083246,82.44234683629729	-42.24683874063226,81.61199598276775	
-104.08993943937588,153.49395787354655	-103.16376759111625,153.8710595938971	-103.5408693114668,154.79723144215671	-104.46704115972643,154.42012972180618	
-30.76917524762922,63.47312682025596	-31.17241453834988,62.55803224895795	-30.257319967051863,62.15479295823729	-29.854080676331204,63.0698875295353	
-19.112930464589397,80.55442294260146	-18.319084020701897,79.94630467817655	-17.71096575627698,80.74015112206405	-18.50481220016448,81.34826938648897	
1.9143473565674753,8.034386930942015	0.9662094319409352,7.716527723296747	1.2840686395862027,6.768389798670206	2.232206564212743,7.086249006315475	
-1.819441835899994,7.061715657604614	-2.2673819769386743,8.493270626876226	-3.6989369462102863,8.045330485837546	-3.2509968051716065,6.6137755165659335	
-50.06355348847033,103.6238585051826	-48.26010996673393,102.75922478856788	-47.3954762501192,104.56266831030428	-49.19891977185561,105.42730202691901	
-41.381788208356866,85.74611047510152	-41.97535191325041,86.55089748309372	-42.78013892124262,85.95733377820018	-42.18657521634908,85.15254677020798	
-85.57324618391858,162.13365900780477	-94.92931571288545,158.60322518614237	-94.22322894855297,156.73201128034898	-84.8671594195861,160.26244510201138	
23.0491235248345,37.76201526975332	22.013491644287946,34.94643955455836	24.829067359482906,33.91080767401181	25.86469924002946,36.72638338920677	
-0.5848906281515553,12.799323231799049	0.3098887239067003,13.24583181080981	-0.1366198551040596,14.140611162868064	-1.0313992071623153,13.694102583857305	
-28.04907027323162,93.95638247064507	-30.127910334266947,91.79341598901973	-29.406921507058506,91.10046930200797	-27.32808144602318,93.2634357836333	
-97.49560895648443,155.60336006786608	-96.60476301467206,155.14905454516528	-96.15045749197128,156.03990048697764	-97.04130343378364,156.49420600967844	
-48.50375327381656,111.61344496890058	-47.56428735880688,111.95608734009106	-47.90692972999735,112.89555325510074	-48.84639564500703,112.55291088391026	
16.572388789404016,22.39642018526596	10.64247248934904,21.482039151810923	11.099663006076558,18.517081001783435	17.029579306131534,19.43146203523847	
-65.91131224875122,117.42195230412274	-64.63751805146694,114.70580644225065	-61.92137218959485,115.97960063953491	-63.195166386879116,118.69574650140702	
-37.98506717831425,80.08644636802394	-36.12172065854791,79.35985174426551	-35.39512603478948,81.22319826403185	-37.25847255455582,81.94979288779028	
-78.92227443887676,158.86846430876267	-78.40470410524394,158.01282364251122	-77.54906343899249,158.53039397614404	-78.06663377262531,159.3860346423955	
