102.43022217724163,178.02207390509784	129.11676289222353,178.02207390509784	129.11676289222353,204.70861462007974	102.43022217724163,204.70861462007974	
495.74958234263113,119.02421598932051	522.436123057613,119.02421598932051	522.436123057613,145.7107567043024	495.74958234263113,145.7107567043024	
75.70018948836037,172.66820651609189	102.38673020334227,172.66820651609189	102.38673020334227,199.3547472310738	75.70018948836037,199.3547472310738	
228.36310873176183,115.77307273952991	255.04964944674373,115.77307273952991	255.04964944674373,142.4596134545118	228.36310873176183,142.4596134545118	
145.75913321019692,98.54491033756965	152.75913321019692,98.54491033756965	152.75913321019692,105.54491033756965	145.75913321019692,105.54491033756965	
264.8507846067168,144.50778898546486	291.5373253216987,144.50778898546486	291.5373253216987,171.19432970044676	264.8507846067168,171.19432970044676	
212.93678404837306,140.24745164204796	223.23241418936004,140.24745164204796	223.23241418936004,150.54308178303495	212.93678404837306,150.54308178303495	
364.6256646222589,175.0160616491063	371.3338685547583,175.0160616491063	371.3338685547583,181.72426558160566	364.6256646222589,181.72426558160566	
54.908431999127686,273.5804634539748	65.20406214011469,273.5804634539748	65.20406214011469,283.8760935949618	54.908431999127686,283.8760935949618	
402.1503625767879,223.35218891402116	408.1503625767879,223.35218891402116	408.1503625767879,229.35218891402116	402.1503625767879,229.35218891402116	
406.9437280019152,96.65847347209733	414.75397767782187,96.65847347209733	414.75397767782187,104.46872314800399	406.9437280019152,104.46872314800399	
367.5583353916691,40.9676663841217	373.64109792196734,40.9676663841217	373.64109792196734,47.05042891441992	367.5583353916691,47.05042891441992	
446.39196585770856,113.71914214454583	473.07850657269046,113.71914214454583	473.07850657269046,140.40568285952773	446.39196585770856,140.40568285952773	
402.9266786147275,51.50042700281225	414.5885824044181,51.50042700281225	414.5885824044181,63.16233079250286	402.9266786147275,63.16233079250286	
496.9193639649503,199.66607567796277	502.0183834785431,199.66607567796277	502.0183834785431,204.76509519155556	496.9193639649503,204.76509519155556	
89.55897178959862,3.777104658012714	95.64173431989684,3.777104658012714	95.64173431989684,9.859867188310933	89.55897178959862,9.859867188310933	
145.67731462837304,147.5379545964663	150.67731462837304,147.5379545964663	150.67731462837304,152.5379545964663	145.67731462837304,152.5379545964663	
119.07219276262853,101.82341718376036	145.75873347761043,101.82341718376036	145.75873347761043,128.50995789874227	119.07219276262853,128.50995789874227	
487.3502264342368,127.47655230843924	493.3502264342368,127.47655230843924	493.3502264342368,133.47655230843924	487.3502264342368,133.47655230843924	
9.51385171166838,6.191412813527169	15.596614241966599,6.191412813527169	15.596614241966599,12.274175343825387	9.51385171166838,12.274175343825387	
346.6658779576478,221.0205564674015	350.7889835832655,221.0205564674015	350.7889835832655,225.14366209301917	346.6658779576478,225.14366209301917	
75.15616162857295,81.79063970394641	82.96641130447959,81.79063970394641	82.96641130447959,89.60088937985307	75.15616162857295,89.60088937985307	
114.80495981862212,265.35210256253856	121.12951513895888,265.35210256253856	121.12951513895888,271.6766578828753	114.80495981862212,271.6766578828753	
396.7218770557093,209.79478958395515	408.3837808453999,209.79478958395515	408.3837808453999,221.45669337364575	396.7218770557093,221.45669337364575	
342.74402820998887,201.069598415401	348.74402820998887,201.069598415401	348.74402820998887,207.069598415401	342.74402820998887,207.069598415401	
330.70459960313366,43.57986278356024	357.39114031811556,43.57986278356024	357.39114031811556,70.26640349854215	330.70459960313366,70.26640349854215	
440.5808704838248,201.92752552363785	446.90542580416155,201.92752552363785	446.90542580416155,208.25208084397462	440.5808704838248,208.25208084397462	
167.6237484899113,153.1089729761946	175.43399816581794,153.1089729761946	175.43399816581794,160.91922265210124	167.6237484899113,160.91922265210124	
-26.7675849656046,5.608432899970095	-22.7675849656046,5.608432899970095	-22.7675849656046,9.608432899970095	-26.7675849656046,9.608432899970095
