18.04812325823147,114.50444170454433	13.670006916413161,115.54468076240722	12.62976785855027,111.16656442058891	17.007884200368576,110.12632536272602	
27.155330569755932,144.16677499161284	21.6699306698569,146.59790393475586	19.238801726713884,141.1125040348568	24.724201626612917,138.68137509171382	
-1.1740212336982907,76.73919277313185	1.7718586977667519,76.17192614323766	2.339125327660945,79.1178060747027	-0.6067546038040965,79.68507270459689	
4.939901686135933,115.79951948918931	3.73765361078918,108.90353518197652	10.633637918001975,107.70128710662978	11.835885993348722,114.59727141384255	
14.936539373232755,143.98248245095647	17.926597930513918,144.22651077724194	17.84525515508543,145.22319696300232	14.855196597804266,144.97916863671685	
90.68297404323266,33.36401562823285	93.55556299229082,27.25576442762322	99.66381419290045,30.128353376681375	96.79122524384229,36.236604577291004	
-18.468235002155488,-28.9700732400648	-14.468240432312271,-28.96348224432961	-14.474831428047459,-24.963487674486394	-18.474825997890676,-24.970078670221582	
-20.717357932051062,33.4638492725727	-19.30986320413334,29.719659294635708	-15.565673226196347,31.12715402255343	-16.973167954114068,34.871344000490424	
8.280262167850836,98.7615828470045	5.296744152094081,99.07562145873064	4.982705540367953,96.09210344297388	7.966223556124708,95.77806483124775	
9.566064875920198,123.15074688121506	8.942390321431857,117.18324907643257	14.90988812621434,116.55957452194423	15.533562680702682,122.52707232672671	
36.07413707896164,37.7589306211388	40.02862510739241,37.157245958713574	40.630309769817636,41.11173398714434	36.67582174138687,41.71341864956957	
30.740904185537786,156.03333537406354	31.950200872550862,159.8461560520891	30.04379053353809,160.45080439559564	28.834493846525014,156.63798371757008	
-16.29422553770505,61.620066122285806	-20.278495192928567,58.59920609334288	-19.674323187139983,57.80235216229818	-15.690053531916464,60.823212191241105	
52.98297140931169,35.1352371021714	52.024241652296844,37.17075601709562	49.988722737372626,36.21202626008077	50.94745249438747,34.17650734515656	
57.46593551606786,42.85218769787778	54.47142947675084,43.033663813369316	54.28995336125931,40.03915777405229	57.284459400576324,39.857681658560765	
17.200593544363308,104.44498806649706	16.29858685576371,107.30617382308847	13.437401099172295,106.40416713448887	14.339407787771894,103.54298137789746	
-16.335069316197067,49.43203801576104	-15.843488115531121,56.16411406428811	-22.57556416405819,56.655695264954055	-23.067145364724137,49.923619216426985	
9.508461254263828,77.41531228056628	3.517834624063605,77.08006225814135	3.573709627801094,76.08162448644131	9.564336258001317,76.41687450886624	
16.600752793839597,129.89327763390088	16.816938907604143,126.90107717868145	19.809139362823576,127.117263292446	19.59295324905903,130.10946374766542	
12.904823779142411,136.56254574711784	9.86058588772148,140.5289818880934	9.067298659526369,139.9201343098092	12.111536550947301,135.95369816883365	
-16.99054874531124,38.43990387920768	-18.0494854226253,36.74324448102575	-17.201155723534335,36.21377614236872	-16.142219046220276,37.91043554055065	
-16.026196980910953,38.129471122073014	-14.014543922578213,35.90388086937587	-11.78895366988107,37.91553392770861	-13.800606728213811,40.141124180405754	
17.657062502023265,136.46899257339368	17.193183343172738,134.0124062985024	19.649769618064,133.5485271396519	20.113648776914527,136.00511341454316	
17.147179173992008,155.77551891708146	19.3205831778925,159.13354140596226	15.962560689011688,161.30694540986278	13.789156685111195,157.94892292098194	
-14.774732687701114,43.39948745232083	-12.5538649730725,41.38262191537488	-10.53699943612655,43.603489630003494	-12.757867150755164,45.620355166949444	
22.148681037986165,130.747902472458	19.891130799527662,128.7721831298296	21.866850142156053,126.51463289137112	24.124400380614556,128.49035223399952	
12.050356375329237,44.3924450938524	7.702947926198508,46.86227095338719	7.208982754291551,45.99278926356104	11.55639120342228,43.52296340402626	
67.80003843464014,37.890589001157636	65.97311662251259,41.16547170018253	62.6982339234877,39.33854988805498	64.52515573561524,36.063667189030085	
33.80642780179285,43.562185139009685	31.79292278044385,41.33827022854158	34.016837690911956,39.32476520719258	36.03034271226095,41.54868011766069	
-21.725875797780645,21.27458767573998	-20.957854506558732,16.333925443181492	-16.017192274000244,17.101946734403406	-16.785213565222158,22.042608966961893	
-9.88568330848274,-4.605965970987469	-11.29679878456796,-6.358465076023698	-9.544299679531733,-7.769580552108918	-8.133184203446511,-6.017081447072689	
18.011267039744595,40.833984764833886	20.760460262757984,43.73948586146717	17.854959166124694,46.488679084480566	15.105765943111304,43.58317798784728	
19.022686106738604,123.06846549191577	21.980248657052556,122.56564965984559	22.483064489122736,125.52321221015954	19.525501938808784,126.02602804222973	
93.79020763980176,35.72349947883092	95.47703404631278,38.204349469115925	92.99618405602777,39.89117587562694	91.30935764951676,37.41032588534194	
18.73744313436808,172.732031681462	14.395408259135545,171.55019703047887	15.577242910118667,167.20816215524633	19.9192777853512,168.38999680622945	
12.89939689412924,102.36723610389164	12.860600100520323,105.36698522820282	9.860850976209147,105.3281884345939	9.899647769818063,102.32843931028272	
29.056721825902073,150.51302799895103	25.07611140486543,150.11965708501043	25.46948231880602,146.1390466639738	29.450092739842667,146.53241757791437	
4.146825412898565,61.696313926808116	8.002749089145242,64.01619595030851	5.682867065644841,67.87211962655519	1.8269433893981644,65.55223760305479	
26.826168782949665,49.44554603236699	24.715676635842666,50.22549660580077	23.935726062408882,48.115004458693775	26.04621820951588,47.335053885259995	
-8.539762341715523,108.27923046048464	-10.137894285858332,104.6123551845705	-9.2211754668798,104.21282219853481	-7.623043522736991,107.87969747444893	
-19.85217833362403,-34.751673638538065	-23.057033945592323,-33.34493965286937	-24.463767931261017,-36.54979526483766	-21.258912319292726,-37.95652925050636	
6.712993248203325,59.51972623114702	8.373816397971058,61.03767434132588	6.855868287792193,62.69849749109362	5.195045138024461,61.18054938091475	
-21.794947925332913,-30.301774615215436	-18.504472970998894,-18.76172372386749	-20.427814786223554,-18.213311231478485	-23.71828974055757,-29.753362122826434	
8.198191136002556,99.08579591242382	10.153970041013348,99.50404090607562	9.94484754418745,100.48193035858101	7.989068639176659,100.06368536492921	
6.1267924467274355,91.32375843443536	5.529660549326238,95.7839639787019	1.06945500505969,95.18683208130071	1.6665869024608888,90.72662653703416	
-14.974456427397786,39.96804426211713	-13.96876841744043,41.980776640409886	-15.981500795733183,42.986464650367246	-16.98718880569054,40.97373227207449	
15.690440199684204,152.6743645376472	11.93676702064516,154.0563694815468	10.554762076745568,150.30269630250774	14.308435255784614,148.92069135860814	
14.60537913183525,46.02121300272327	16.90816149837328,47.94402172237312	14.985352778723424,50.246804088911155	12.682570412185395,48.323995369261304	
-11.35686758057306,89.72769913881929	-8.793721691857824,91.28663568440483	-10.352658237443368,93.84978157312007	-12.915804126158603,92.29084502753453	
10.198762143842139,61.31162195407805	9.649097684796287,58.36240697675581	12.59831266211853,57.81274251770996	13.14797712116438,60.7619574950322	
-26.291606164198114,22.968764608670213	-25.26311287899964,25.786955794928105	-28.08130406525753,26.815449080126577	-29.109797350456006,23.99725789386869	
-17.751319783257525,-1.0313568914876399	-18.857776643900042,-4.8752810863095295	-15.013852449078147,-5.981737946952043	-13.907395588435636,-2.137813752130156	
33.509810717166616,47.62011333156545	33.96807330888206,43.646450613488554	37.94173602695896,44.104713205204	37.48347343524351,48.078375923280895	
29.94271327574775,173.37222154640676	26.680672851982088,171.0572502131677	28.99564418522117,167.795209789402	32.257684608986835,170.1101811226411	
-17.561054617666837,-8.04425806415935	-18.230225106665262,-10.968674391677308	-15.30580877914731,-11.637844880675733	-14.63663829014888,-8.713428553157778	
-8.403443921243166,110.1111067568966	-10.967529459477408,111.66849731568975	-12.524920018270551,109.10441177745551	-9.960834480036311,107.54702121866237	
15.164378999842924,166.75295229994697	15.499242654456644,162.2654288924516	19.986766061952004,162.60029254706535	19.65190240733828,167.08781595456068	
17.194085577758713,139.1287383285014	14.194473875593717,139.08047202312372	14.242740180971397,136.08086032095875	17.242351883136394,136.12912662633642	
-26.446327774588084,28.63404831661164	-24.353888252513805,35.313995685151426	-25.308166448019488,35.61291561687632	-27.400605970093768,28.932968248336536	
15.438207544370002,78.65157930168961	13.869235595542616,82.33102586656764	12.949373954323107,81.9387828793608	14.518345903150491,78.25933631448277	
-8.065196125064325,116.4226469688265	-5.136954375150582,117.07487411795638	-5.789181524280469,120.00311586787012	-8.717423274194212,119.35088871874024	
-19.17658408470124,72.03145445799152	-15.63149883026286,70.17878866547426	-13.77883303774561,73.72387391991265	-17.32391829218399,75.57653971242989	
-8.397156960004004,-30.223456224551654	-4.570740226102718,-31.389018311495207	-3.4051781391591653,-27.56260157759392	-7.231594873060453,-26.397039490650368	
20.68745076486678,158.12973458654983	21.750027306783952,155.32421661430882	24.555545279024965,156.386793156226	23.492968737107798,159.192311128467	
-20.371420926431927,-15.789171553068297	-17.4121341446453,-16.28173803908104	-16.919567658632555,-13.322451257294412	-19.878854440419182,-12.82988477128167	
-9.453404826219789,114.02944730340992	-4.647540193716845,115.40918102194308	-4.923486937423478,116.37035394844368	-9.72935156992642,114.99062022991052	
58.660481770877766,40.0972681888332	55.752659655651485,39.35931795595772	56.49060988852697,36.45149584073144	59.39843200375325,37.18944607360692	
77.34932745352447,31.747828131940466	71.87338534692496,36.108339345682566	71.25045517353324,35.32606190188263	76.72639728013274,30.965550688140535	
61.081450675732796,40.50642742396576	63.73565388448295,41.90471399211279	62.33736731633592,44.55891720086294	59.68316410758577,43.160630632715915	
100.54993364727187,35.889920588860406	100.46114125473188,38.138167886429564	98.21289395716272,38.04937549388958	98.3016863497027,35.80112819632042	
17.805034078986864,115.40500934513206	19.368892781782122,111.72338661083519	23.05051551607899,113.28724531363045	21.48665681328373,116.96886804792732	
42.086204977768745,44.83392589900572	39.865916093445186,49.313916665753936	38.96991794009554,48.86985888888922	41.1902068244191,44.38986812214101	
37.51056209934099,43.43403188792432	39.78692940523238,41.48002270456085	41.740938588595846,43.75639001045224	39.464571282704455,45.71039919381571	
27.895494961543918,155.790003493676	26.290334444532498,153.255548973542	28.82478896466649,151.6503884565306	30.42994948167791,154.18484297666458	
-4.568558483501647,47.38005290021468	-3.6673011592452722,43.48290840257615	0.22984333839325366,44.38416572683253	-0.6714139858631207,48.281310224471056	
-27.888782030951575,18.049549757238296	-26.20559637211874,20.532871330836745	-28.68891794571719,22.21605698966958	-30.372103604550023,19.73273541607113	
19.014238729060793,106.63895863616328	21.94329574822989,105.99040256421866	22.59185182017451,108.91945958338776	19.662794801005415,109.56801565533237	
53.74440191274903,43.107364889660474	52.286305305016,45.729187592002766	49.66448260267371,44.27109098426975	51.122579210406734,41.64926828192745	
-2.251196304008168,81.2835529210366	1.712177958513327,80.74349324360993	1.8471928778699933,81.7343368092403	-2.116181384651502,82.27439648666697	
2.1938228358898186,83.75156625257276	6.467124540559129,90.51461974495845	5.621742854010915,91.04878245804211	1.3484411493416066,84.28572896565642	
-3.7873798299274952,57.72087966660973	-1.697387468972999,59.87307202119885	-3.849579823562117,61.96306438215335	-5.939572184516613,59.81087202756423	
8.498186599239972,30.558172165114627	9.052546731969159,33.506508109887626	6.104210787196161,34.060868242616806	5.549850654466975,31.112532297843813	
-15.80053617801735,51.98824599250291	-12.158948556561883,50.33330200696675	-10.504004571025721,53.97488962842222	-14.145592192481189,55.629833613958375	
-26.410566894530152,39.04724425522555	-26.34984466629071,36.798063779808416	-24.10066419087358,36.85878600804786	-24.161386419113022,39.10796648346499	
22.530264560823653,43.34458382247482	22.390808637907234,40.34782690114077	25.38756555924128,40.20837097822435	25.527021482157704,43.2051278995584	
12.405852690259373,48.39288826888789	10.382442803824203,47.408859594774974	11.366471477937115,45.385449708339806	13.389881364372284,46.36947838245272	
81.15391022884742,29.045104708603404	77.65198844363091,35.106172585654946	76.78612160405213,34.60589804490973	80.28804338926864,28.54483016785819	
-3.723045751270263,-3.309122513592186	0.25524593238973425,-3.7252898834347836	0.4633296173110324,-1.736144041604783	-3.5149620663489647,-1.3199766717621875	
12.102140247558438,-31.872348156752647	9.820527194406187,-29.924466775434663	7.872645813088202,-32.206079828586915	10.154258866240452,-34.1539612099049	
28.342611771726567,161.80725714266498	20.353257969482335,161.39467282090078	20.40483100970286,160.39600359562024	28.394184811947092,160.80858791738444	
-13.409865835002812,16.017151417952533	-12.822506576856544,9.041837152496829	-11.826033110362872,9.125745617946295	-12.41339236850914,16.101059883402	
9.259281061674436,120.83022640838622	6.8926360746395225,122.67386181305346	5.04900066997229,120.30721682601855	7.415645657007203,118.46358142135131	
61.702459862843284,34.77570510778928	58.901776489590524,35.850959795193866	57.82652180218594,33.050276421941106	60.6272051754387,31.97502173453652	
15.891649491785842,71.66661165483067	16.479336630051257,74.60848585804152	13.53746242684042,75.19617299630693	12.949775288575003,72.2542987930961	
-20.704211322664204,-40.18334687959933	-23.685033216327582,-39.8446717576062	-24.023708338320713,-42.825493651269575	-21.042886444657334,-43.16416877326271	
2.755436193380703,80.0789532318762	7.2191218469523175,77.82606389014214	7.66969971529913,78.71880102085646	3.206014061727516,80.97169036259052	
-19.616032379723087,61.911677876038	-16.965606180199266,63.31711053571178	-18.371038839873044,65.9675367352356	-21.021465039396865,64.56210407556182	
-9.798039800796808,-27.355152606850783	-12.754223607836026,-26.84429323383399	-13.265082980852817,-29.80047704087321	-10.308899173813598,-30.311336413890004	
14.850770348400445,126.51069290462858	12.390709059456071,128.22769565786965	10.67370630621502,125.76763436892526	13.133767595159396,124.05063161568421	
-9.718455088846532,98.67699092924845	-12.082499486549192,96.83002203787787	-10.235530595178615,94.46597764017521	-7.871486197475952,96.31294653154579	
69.57636639688224,35.11641138619878	67.69615375716602,32.778720125691656	70.03384501767314,30.89850748597544	71.91405765738935,33.23619874648256	
-20.230537731407512,-1.265450790782495	-17.317334375658753,-0.5490387528782145	-18.033746413563033,2.3641646028705448	-20.946949769311793,1.6477525649662645	
-10.378927328510862,100.82085885336603	-13.171930152499842,101.91590918334616	-14.266980482479969,99.12290635935719	-11.473977658490988,98.02785602937705	
-11.318167909603076,60.27754769603803	-7.648764956797528,59.50425475675698	-6.875472017516478,63.17365770956253	-10.544874970322027,63.946950648843575	
19.232621742690128,39.634230836328385	21.218799366133474,41.88258544539986	20.469347829776314,42.544644653214306	18.48317020633297,40.296290044142836	
75.41885809959398,41.78370325640117	72.42765402056159,41.554142463625084	72.65721481333766,38.5629383845927	75.64841889237006,38.792499177368775	
-20.596228144263502,36.899893029539285	-23.467940185733376,36.03198177204983	-22.600028928243923,33.160269730579955	-19.72831688677405,34.02818098806941	
-6.488324083041306,55.13141170167566	-6.875989110090441,58.10625889553335	-9.850836303948135,57.71859386848422	-9.463171276898999,54.74374667462652	
10.264442038583567,44.08274871200838	7.34882049270748,44.789254905345096	6.6423142993707645,41.87363335946901	9.55793584524685,41.167127166132296	
13.636945911345379,153.83719004029177	15.570062690968218,154.98851949632973	14.418733234930276,156.92163627595255	12.485616455307436,155.77030681991462	
56.17655091300392,43.54413378981461	59.06011087108457,42.71643700466081	59.887807656238365,45.59999696274146	57.00424769815772,46.427693747895255	
-13.353132358129116,18.857097421506296	-15.438774853759005,18.012943774103924	-14.594621206356633,15.927301278474035	-12.508978710726746,16.771454925876405	
32.523037738032826,164.58829666443694	31.228673196705206,168.37308469471733	27.443885166424813,167.07872015338972	28.738249707752434,163.29393212310933	
86.78711798583598,36.61074755089997	89.78390432106116,36.74956995906103	89.6450819129001,39.74635629428621	86.64829557767492,39.607533886125154	
0.814054325219999,31.85440371537443	2.8194418614068533,32.87465899210983	1.7991865846714574,34.88004652829668	-0.20620095151539664,33.85979125156128	
9.388144884509423,97.57549318856339	10.716492826403663,92.75517247876977	11.680556968362387,93.0208420671486	10.352209026468149,97.84116277694223	
7.5563758293920955,62.9249745227152	9.997476580723443,61.18112042278324	11.741330680655409,63.622221174114586	9.300229929324063,65.36607527404655	
69.37073914237828,40.59177130991485	71.01916094518268,42.123177709287376	69.48775454581015,43.77159951209176	67.83933274300576,42.24019311271924	
1.346843165470304,58.16053232279744	-1.4436071797572056,59.26207073375716	-2.545145590716929,56.47162038852965	0.24530475451057865,55.370081977569924	
-14.582392823380893,95.8666548478105	-13.037483455643555,94.23088131657904	-11.401709924412101,95.77579068431638	-12.946619292149439,97.41156421554783	
-0.524175691497085,48.48119109821411	0.3231107679866343,51.359055871891904	-2.55475400569116,52.20634233137562	-3.4020404651748795,49.32847755769783	
60.924787298505606,37.22788936360759	62.52059808114283,38.81404444619528	60.934442998555134,40.409855228832505	59.33863221591791,38.82370014624481	
12.330584599160389,161.1551283316989	11.796958496728609,158.96932340380542	13.982763424622101,158.43569730137364	14.51638952705388,160.62150222926712	
33.13369359968348,50.05179175986518	30.305809370104456,51.053325975006246	29.304275154963392,48.22544174542722	32.13215938454242,47.223907530286155	
13.728050191208034,162.07793953949272	14.793350325416561,166.9631350958707	13.816311214140963,167.17619512271241	12.751011079932436,162.29099956633442	
13.174226111724963,129.21011103103643	16.005993335671537,128.21960894149703	16.996495425210934,131.0513761654436	14.164728201264358,132.041878254983	
18.636694325809415,141.95926175799673	16.478388603637946,141.32348159973296	17.114168761901713,139.1651758775615	19.27247448407318,139.80095603582527	
12.487687154475928,106.7172503829237	15.03930598085987,108.2949833656692	13.461572998114363,110.84660219205314	10.909954171730421,109.26886920930764	
0.050367865183467586,84.35682639227029	0.8246863725293436,87.25517606910049	-0.14143018641405225,87.51328223821577	-0.9157486937599284,84.61493256138559	
14.50990431830563,103.09499710052087	14.306838856476704,100.1018775876694	17.29995836932817,99.89881212584048	17.503023831157098,102.89193163869194	
28.290157490976597,157.1408431727911	28.866584984905124,160.08494428250918	25.922483875187034,160.66137177643773	25.34605638125851,157.71727066671963	
16.616377634746897,132.52430155769423	16.057407919638738,135.47176705496335	13.109942422369617,134.9127973398552	13.668912137477776,131.96533184258607	
10.521678825971442,77.42186575421651	13.497974100917222,77.79825177459375	13.121588080539983,80.77454704953954	10.145292805594202,80.3981610291623	
-10.986336677194132,64.23753435056689	-7.987024063459566,64.17331717924388	-7.965618339685232,65.17308805048874	-10.964930953419797,65.23730522181174	
-5.057670444589661,45.59582311131487	-11.020073642286345,46.26645572914401	-11.131845745257866,45.27272186286123	-5.169442547561185,44.60208924503209	
14.935486862547933,153.6219447106904	16.791904319706074,152.87782494562668	17.16396420223794,153.80603367420574	15.307546745079797,154.55015343926948	
15.59830923323419,84.18383632275051	17.75171799052869,85.45380904844478	16.481745264834412,87.60721780573928	14.32833650753991,86.33724508004501	
5.091362186771633,53.79051298247185	2.2073504265870634,56.56224099349983	1.5144184238300693,55.84123805345369	4.398430184014639,53.06951004242571	
-0.4646240922708387,72.59862998192206	-1.7341525854404796,78.46278357856586	-2.7115115182144467,78.25119549637091	-1.4419830250448054,72.38704189972712	
20.43186246910696,129.44651420282474	22.650323429241855,131.46602675994276	20.63081087212384,133.68448772007767	18.41234991198894,131.66497516295965	
-22.08726801859358,18.10264235777666	-23.429311372921372,19.585517819541607	-24.170749103803846,18.91449614237771	-22.828705749476054,17.431620680612763	
-12.287151751216179,-12.164326161129754	-9.38600017024851,-12.928079723641112	-8.622246607737152,-10.026928142673441	-11.523398188704821,-9.263174580162085	
23.770380757094017,118.33663152480459	23.77255697089025,121.33663073548674	20.7725577602081,121.33880694928297	20.77038154641187,118.33880773860082	
53.11534498365721,39.00660658873561	53.09373245138926,36.756710391474726	55.34362864865014,36.73509785920678	55.36524118091809,38.984994056467656	
15.107353898782407,146.57546709255348	10.791278572721362,144.05128528852924	11.29611493352621,143.18807022331703	15.612190259587255,145.71225202734126	
-14.48841931433703,36.019479003759045	-16.232569321177326,33.57858966713622	-13.791679984554504,31.834439660295928	-12.047529977714209,34.27532899691875	
20.53843229593747,98.22476118357791	19.86551437364449,100.63249486275775	17.457780694464645,99.95957694046477	18.130698616757627,97.55184326128493	
26.949862239185208,135.5905057220378	28.849330892031315,142.32786565281594	27.886850901920152,142.59921831750825	25.987382249074045,135.8618583867301	
10.026439257797172,124.97969548933212	7.201574186917986,125.98971397001786	6.191555706232245,123.16484889913868	9.016420777111431,122.15483041845293	
43.807566284051944,42.30657221190245	47.40828039965475,44.04865655477988	46.97275931393539,44.948835083680585	43.372045198332586,43.20675074080315	
24.645343921679213,129.64766809816092	24.465567076821603,133.64362609169052	23.466577578439207,133.5986818804761	23.646354423296817,129.6027238869465	
-13.264904198402348,103.79163427603304	-11.461359378141738,102.06038441500456	-9.73010951711326,103.86392923526518	-11.53365433737387,105.59517909629365	
13.83370073498164,44.795543312414495	10.646334387631269,42.37879016660536	11.854710960535837,40.785106992930174	15.042077307886208,43.201860138739306	
18.110485309596257,151.69061056998288	20.787873749780562,150.3372476695133	21.23899471660376,151.22971048290808	18.56160627641945,152.58307338337764	
5.544676124774654,48.48766096398434	2.9709965983594824,46.94617671323399	3.4848246819429334,46.088283537762265	6.058504208358105,47.629767788512616	
-34.8339717681873,-18.919213426337322	-32.935868754520016,-13.227359163488774	-33.88451113166144,-12.911008661210895	-35.78261414532872,-18.60286292405944	
-3.409021531993673,-0.5093319612029603	-6.350483718954459,0.08041391854514646	-6.940229598702566,-2.8610482684156398	-3.99876741174178,-3.4507941481637467	
-1.2684515504661675,35.67204447379363	-3.4982685056171956,35.972737583992384	-3.7989616158159465,33.742920628841354	-1.5691446606649193,33.4422275186426	
2.27750777640815,96.08079065947241	4.535814286231883,97.1531952975115	3.463409648192793,99.41150180733524	1.2051031383690602,98.33909716929614	
-17.729344695673415,28.4024887547875	-14.026098708187057,29.914430934953856	-14.404084253228646,30.840242431825445	-18.107330240715005,29.328300251659087	
78.81281667915276,40.46340770766162	76.8354550010332,40.16333972552393	76.98548899210203,39.17465888646415	78.9628506702216,39.474726868601834	
68.47434807635365,38.90703378294883	67.33859660907797,42.7424045087824	66.37975392761957,42.458466641963476	67.51550539489526,38.623095916129905	
10.076937029792667,94.67418837264493	9.183555779089316,96.46356534267996	8.288867294071805,96.01687471732828	9.182248544775156,94.22749774729326	
91.40547591134009,33.88772809483265	93.05651965010534,35.416307360910814	91.52794038402719,37.06735109967607	89.87689664526194,35.53877183359791	
-20.645064829954237,-33.12066572613401	-18.44169590621538,-29.782228159561605	-20.11091468950158,-28.680543697692173	-22.314283613240438,-32.018981264264575	
31.861264314401723,38.851389536315835	26.031561441558292,42.72625268413939	25.478009563297785,41.8934379880189	31.307712436141216,38.01857484019535
