40.94001578179919,-6.661648990847617	40.574325263605175,-7.85696085178726	41.76963712454482,-8.222651369981275	42.13532764273883,-7.0273395090416315	
-19.2136500090769,14.002262856190058	-19.12393140075464,12.504948403137288	-17.62661694770187,12.594667011459551	-17.71633555602413,14.09198146451232	
1.20994139905088,4.79245590071697	1.565211303775207,3.8576921365513024	2.4999750679408743,4.212962041275629	2.1447051632165475,5.147725805441297	
58.124419440881,-11.109658753568462	58.6877536011092,-10.283429594121769	57.8615244416625,-9.720095433893569	57.29819028143431,-10.546324593340263	
3.8363901045205147,3.5364136719357404	5.0926771344795805,4.356012902265192	4.27307790415013,5.612299932224257	3.016790874191064,4.792700701894806	
-9.528606427091688,11.242940714088355	-9.79659059052355,12.206364031301367	-10.760013907736562,11.938379867869507	-10.4920297443047,10.974956550656493	
33.29141673773246,-11.142542638598087	32.737462758483666,-10.309995349325925	31.904915469211506,-10.86394932857472	32.4588694484603,-11.696496617846881	
26.79095358068425,-8.681041970860676	26.253014290222055,-9.52402555301221	27.09599787237359,-10.061964843474403	27.63393716283578,-9.218981261322869	
-18.64944065682678,6.193231456347782	-19.858689486346954,6.509802567323007	-20.17526059732218,5.300553737802833	-18.966011767802005,4.983982626827608	
18.34251988997706,1.9065678658457905	19.3381413920837,2.662370634127909	18.582338623801583,3.657992136234551	17.58671712169494,2.902189367952433	
-12.995098235580581,12.15125217163073	-12.554021188966843,13.048721412858809	-13.451490430194921,13.489798459472548	-13.89256747680866,12.592329218244469	
16.728190218133673,-4.5155405770434385	17.593127142794973,-5.017421156820594	18.095007722572127,-4.152484232159294	17.230070797910827,-3.650603652382139	
0.7826219347359249,-9.46426371593384	1.9874039028372066,-9.797430955226664	2.3205711421300306,-8.592648987125381	1.115789174028749,-8.259481747832558	
12.511012546701036,3.332133440670127	13.905234573374585,2.7788297805174933	14.458538233527218,4.173051807191042	13.06431620685367,4.7263554673436765	
36.166765520288024,-7.423820074128657	36.98444898825984,-6.848151987289042	36.40878090142023,-6.030468519317225	35.59109743344841,-6.60613660615684	
18.32500600237606,-0.5051648760120635	18.386269036083696,-1.5032865322749345	19.384390692346567,-1.442023498567297	19.32312765863893,-0.44390184230442553	
16.042466517506636,2.6520446121730323	15.150601465894956,3.1043462037175424	14.698299874350447,2.2124811521058634	15.590164925962124,1.7601795605613533	
8.10128584215267,4.370787002164587	9.00351862900371,3.9395376562740596	9.434767974894235,4.841770443125099	8.532535188043196,5.273019789015626	
34.609502292406745,-8.401748939275356	34.655387499860836,-7.402802220107163	33.65644078069264,-7.356917012653074	33.61055557323855,-8.355863731821268	
28.675726560134077,-8.138758468919233	29.454367370804224,-7.511288558916422	28.826897460801412,-6.732647748246275	28.048256650131265,-7.360117658249086	
52.57170504544186,-9.075567019209876	52.19125265191016,-8.150766513016242	51.26645214571653,-8.531218906547943	51.646904539248226,-9.456019412741576	
57.49728926417677,-10.097832548858653	57.611640029170246,-9.104392111517084	56.61819959182868,-8.990041346523608	56.5038488268352,-9.983481783865177	
-20.466760219730077,13.677628626632977	-20.255492587846657,12.700200374678712	-19.278064335892388,12.911468006562133	-19.48933196777581,13.888896258516398	
-17.444513466608594,4.660627557773491	-16.867093498473047,5.477074849641339	-17.683540790340892,6.054494817776887	-18.260960758476443,5.23804752590904	
6.1016389832892415,5.270232327881391	6.967521241650915,5.770480181104658	6.467273388427648,6.636362439466333	5.6013911300659744,6.136114586243065	
46.219126145445244,-7.4774430023553915	45.33901303398461,-7.952207060636	45.81377709226521,-8.832320172096638	46.69389020372585,-8.357556113816031	
14.441314196546163,-9.54905364004905	14.384516546498213,-10.547439350558285	15.382902257007448,-10.604237000606236	15.439699907055399,-9.605851290097	
55.384358866967005,-11.293816644991223	54.39881404541555,-11.463231534281128	54.56822893470546,-12.448776355832583	55.55377375625691,-12.279361466542678	
15.286535191885132,-9.197600499936817	15.869115382871122,-8.384827271372583	15.056342154306888,-7.802247080386594	14.473761963320898,-8.615020308950827	
-1.790337231396883,1.6105957310533245	-1.2555185410793785,2.455562575661484	-2.100485385687538,2.9903812659789883	-2.6353040760050424,2.145414421370829	
57.897435355268684,-12.417573876016117	57.95810013198487,-11.41941567970354	56.95994193567229,-11.358750902987355	56.89927715895611,-12.356909099299932	
38.14210237740602,-8.815426807823115	37.47584788740957,-8.069702358338205	36.73012343792466,-8.735956848334652	37.39637792792111,-9.481681297819563	
-8.51189445007449,11.64294858816686	-8.824363881861014,12.592876403423896	-9.774291697118052,12.28040697163737	-9.461822265331525,11.330479156380335	
-0.5632452340630572,-3.4121354503494477	-0.009986283876645463,-4.245144774450102	0.8230230402240093,-3.6918858242636907	0.2697640900375976,-2.858876500163036	
-2.440481358464691,-1.4416180268147816	-1.6802898469247816,-2.091317084673624	-1.0305907890659387,-1.3311255731337148	-1.7907823006058483,-0.6814265152748722	
21.766455139704664,-1.8360592199065575	22.756031809965986,-1.9800662116622185	22.900038801721646,-0.990489541400896	21.910462131460324,-0.8464825496452355	
30.284720319437934,-6.470108639511975	29.557358507156664,-5.783854463542964	28.871104331187652,-6.511216275824234	29.598466143468922,-7.197470451793245	
26.00216993617727,-2.942425260314149	25.36605973057015,-3.714023475917623	26.137657946173622,-4.3501336815247456	26.773768151780747,-3.578535465921271	
39.71025737190631,-5.979275357010572	39.5143235249985,-6.95989247272695	40.49494064071489,-7.155826319634754	40.690874487622686,-6.175209203918375	
0.3155529205711467,6.498357168227404	1.245732000774628,6.131251081718605	1.6128380872834265,7.061430161922087	0.682659007079945,7.428536248430885	
0.30910280413715086,-10.898080839221706	1.5498673741466762,-11.049749167520918	1.7015357024458886,-9.808984597511392	0.46077113243636314,-9.657316269212181	
52.80140511886047,-8.269976878217383	52.61383725595245,-9.252228524591223	53.59608890232629,-9.439796387499245	53.78365676523431,-8.457544741125407	
14.535784987950276,-6.454530947812122	14.557056935235035,-7.454304674341637	15.55683066176455,-7.433032727056879	15.53555871447979,-6.433259000527363	
14.98450803453498,-3.7343124727076358	14.577268848301106,-2.8209909273603397	13.66394730295381,-3.228230113594213	14.071186489187683,-4.141551658941509	
51.225472613262866,-11.866121497359071	52.217470893442616,-11.739870112731353	52.0912195088149,-10.747871832551601	51.099221228635145,-10.87412321717932	
-12.410681711099711,-3.3139464176526783	-12.993852305714316,-2.5015967038121136	-13.806202019554881,-3.084767298426719	-13.223031424940276,-3.897117012267284	
32.95264670909762,-3.4039858322564562	32.33656338860841,-2.6163048421246735	31.548882398476625,-3.2323881626138857	32.16496571896584,-4.020069152745669	
26.087597439561495,-7.439569799710655	26.513885639616092,-8.344157203168281	27.41847304307372,-7.917869003113683	26.99218484301912,-7.013281599656057	
13.241970308111323,-6.406253257848136	14.216945012184146,-6.6285690836863145	14.439260838022324,-5.653594379613491	13.464286133949502,-5.431278553775313	
22.06792843925538,-9.846419515218427	23.046620131385694,-10.051754781928988	23.251955398096257,-9.073063089798671	22.27326370596594,-8.86772782308811	
46.917123930059915,-7.4810166696132026	46.88813071280444,-8.480596277925205	47.887710321116444,-8.509589495180679	47.91670353837192,-7.510009886868676	
29.06068318564419,-11.161745889211886	29.94311399447081,-10.69130368486198	29.472671790120902,-9.80887287603536	28.590240981294286,-10.279315080385267	
-1.0765606883921528,4.006874352761567	-0.18232473893895162,4.454470227078492	-0.6299206132558757,5.348706176531692	-1.524156562709077,4.901110302214769
