25.651150534788776,-27.71860259201445	22.70992096397103,-29.615750085423237	24.607068457379814,-32.55697965624098	27.548298028197564,-30.659832162832195	
18.72011928883773,-21.239493383556404	18.441204708252087,-20.279177468486402	17.480888793182086,-20.558092049072044	17.759803373767728,-21.518407964142046	
22.520147339967366,-31.247999144908817	22.483834955954507,-30.24865865700327	21.484494468048958,-30.284971041016128	21.520806852061817,-31.284311528921677	
31.91536968753664,-23.512866445892552	32.60710509403254,-24.23501748784981	33.329256135989795,-23.543282081353908	32.6375207294939,-22.821131039396654	
9.03090740745366,-7.193606712136063	9.165143591956923,-8.184556078536792	10.156092958357652,-8.050319894033528	10.021856773854388,-7.059370527632799	
5.072609075729666,0.28636275041299797	5.921214470826155,-0.24266360376336205	6.450240825002515,0.6059417913331274	5.601635429906026,1.1349681455094873	
26.4079456786533,-36.09303911902651	25.45172327518333,-36.38568005106117	25.74436420721799,-37.34190245453114	26.70058661068796,-37.04926152249648	
35.123921109359024,-24.516663067441876	34.64431931757967,-25.394149318799716	35.52180556893751,-25.873751110579068	36.00140736071686,-24.996264859221228	
17.08930687406997,-23.39321296869626	17.136739033629105,-24.392087430397808	18.135613495330652,-24.344655270838672	18.088181335771516,-23.345780809137125	
33.8907071996859,-22.589118172385874	34.585308678698645,-23.30851290780816	35.30470341412094,-22.61391142879541	34.61010193510818,-21.894516693373124	
15.814962835120037,-20.13035185741722	15.970586887098685,-21.118168214057334	16.958403243738797,-20.962544162078686	16.80277919176015,-19.974727805438572	
12.480101849381475,-11.969481695535134	12.807045514489731,-11.024437865945426	11.862001684900024,-10.69749420083717	11.535058019791768,-11.642538030426877	
27.551933664108354,-26.85481987177667	26.66877548419039,-26.385744580118722	26.199700192532443,-27.268902760036685	27.082858372450406,-27.737978051694633	
34.56695683328485,-25.844195335677373	33.6520017084237,-26.24775093220692	34.05555730495324,-27.162706057068068	34.97051242981439,-26.759150460538525	
24.034109116877843,-32.1292405202513	23.643795479533033,-31.20855856403479	22.72311352331652,-31.5988722013796	23.11342716066133,-32.51955415759611	
4.524650153550132,-3.6944757339027063	5.06103838689002,-4.538447097833091	5.905009750820405,-4.002058864493202	5.368621517480516,-3.158087500562818	
28.425554832990635,-27.719917911027206	29.425017566883625,-27.752693566003824	29.457793221860243,-26.75323083211083	28.458330487967253,-26.720455177134212	
20.713069284801215,-29.499272966424247	21.543506268579428,-30.056385536712643	22.100618838867824,-29.225948552934426	21.27018185508961,-28.668835982646034	
9.341824426063084,-10.419151248101159	9.49648337491212,-11.407119167388476	10.484451294199438,-11.25246021853944	10.329792345350402,-10.264492299252122	
23.6104793041863,-33.96798441347879	23.597041133982657,-34.96789411719287	24.596950837696735,-34.98133228739651	24.610389007900377,-33.98142258368243	
14.424673234211616,-18.331571356718452	15.347539247432985,-18.716692534584453	15.732660425298986,-17.793826521363084	14.809794412077617,-17.408705343497083	
0.2319278563950098,-1.8030704035236909	0.25033572391562176,-0.8032398426718316	-0.7494948369362375,-0.7848319751512196	-0.7679027044568495,-1.7846625360030788	
17.942180115341827,-22.369785950885568	18.87115533408696,-22.739927873609044	19.241297256810437,-21.81095265486391	18.312322038065304,-21.440810732140434	
9.244513723319791,-8.860900780238836	8.256078137569748,-8.70925945070441	8.10443680803532,-9.697695036454453	9.092872393785363,-9.84933636598888	
35.53021515783978,-24.307151994546302	35.439647641557336,-23.311261676793173	34.443757323804206,-23.401829193075613	34.53432484008665,-24.397719510828743	
29.213926543473775,-25.221776973974958	28.27008801617541,-25.55218404772983	28.600495089930284,-26.496022575028192	29.544333617228645,-26.165615501273322	
14.69462397757175,-20.9899123219232	15.11432399901195,-21.89757519546331	16.021986872552063,-21.47787517402311	15.602286851111863,-20.570212300483	
30.825191083800227,-28.091809577830638	29.849315801163467,-28.31013830415547	30.067644527488298,-29.28601358679223	31.04351981012506,-29.0676848604674	
11.521663529071697,-8.27800265497418	10.771590842493358,-7.6166472551707525	10.110235442689929,-8.366719941749091	10.860308129268269,-9.028075341552519	
17.86196108568828,-26.9524859963771	18.455701854024642,-27.757142382678325	19.260358240325868,-27.163401614341957	18.6666174719895,-26.358745228040735	
2.671328852317022,0.17173658978947515	2.975458518411523,-0.7808940554247377	3.928089163625736,-0.4767643893302369	3.623959497531235,0.4758662558839759	
25.489717605561843,-34.797913036015665	24.53592429445468,-35.09837654409483	24.83638780253385,-36.05216985520199	25.790181113641008,-35.75170634712283	
16.775084528644605,-18.188070342053717	15.864986606155629,-17.773677085012476	15.450593349114387,-18.683775007501453	16.360691271603365,-19.098168264542693	
23.356960788057776,-32.972135595032555	23.567616479460593,-33.94969591525817	24.545176799686207,-33.73904022385535	24.334521108283386,-32.761479903629734	
7.052656496971039,-2.453027506982046	7.494989649683708,-3.349878320669178	8.39184046337084,-2.907545167956509	7.949507310658171,-2.010694354269377
