6.5769876858095095,-11.414419480463346	5.602420010262392,-11.190326094173859	5.378326623972905,-12.164893769720976	6.352894299520021,-12.388987156010463	
-11.227510587115626,-8.7150785117811	-10.329597674363812,-8.274905362766356	-10.769770823378556,-7.376992450014543	-11.66768373613037,-7.817165599029286	
4.238777839025619,-7.007045427692667	3.3155461757499576,-7.391289225203121	3.699789973260412,-8.314520888478782	4.623021636536073,-7.930277090968329	
6.43664477279377,-12.461163115671132	6.140904009555869,-13.41643135075459	7.096172244639327,-13.71217211399249	7.3919130078772275,-12.756903878909032	
1.3116032418021497,-18.9263817388766	0.12970346853918424,-17.31296520060728	-0.677004800595475,-17.903915087238765	0.5048949726674905,-19.51733162550808	
20.370547968780755,8.273843512777503	20.930016079452972,9.391651829592536	19.81220776263794,9.951119940264755	19.252739651965722,8.833311623449722	
8.82129597768212,-16.38585430186725	9.117736356582558,-18.36376307169395	10.106690741495907,-18.21554288224373	9.810250362595468,-16.237634112417034	
20.987709822132878,10.87443723970786	20.003711156325917,11.052613067726469	19.825535328307303,10.068614401919506	20.80953399411427,9.890438573900896	
12.457381418136485,5.509057989050152	13.412061704327158,5.211424739632525	13.709694953744785,6.166105025823198	12.755014667554113,6.463738275240825	
14.699897429744716,7.68670740574095	13.812487932331065,3.786386344097428	14.787568197741946,3.564533969744015	15.674977695155597,7.464855031387538	
4.262904869442838,-15.937203760923293	4.448772259172576,-16.91977859951578	5.431347097765064,-16.733911209786044	5.245479708035326,-15.751336371193554	
17.527661839851397,7.790226476841191	17.388504949870004,8.780496823751927	16.39823460295927,8.641339933770535	16.537391492940664,7.6510695868597995	
-3.1909484220823003,10.193464660831907	-2.626971365435801,11.019255118258215	-3.4527618228621084,11.583232174904715	-4.016738879508608,10.757441717478407	
-12.037406644848371,-8.290430870711559	-12.79648873617319,-8.941425785154014	-12.145493821730733,-9.700507876478833	-11.386411730405916,-9.049512962036378	
4.5685084055878775,-3.0018304803551814	5.3577923459000205,-2.032536478740946	4.388498344285785,-1.243252538428803	3.599214403973642,-2.2125465400430384	
19.49869677780505,9.5858664281205	18.994459726686372,10.449431710122468	18.130894444684404,9.94519465900379	18.635131495803083,9.081629377001821	
1.9986616360092881,-16.233191358958294	1.009051074888876,-16.376965269383458	1.1528249853140395,-17.36657583050387	2.1424355464344527,-17.222801920078705	
-1.736715662117792,11.011545982725842	-1.4755204930979944,11.976831994061715	-2.4408065044338674,12.238027163081513	-2.702001673453665,11.27274115174564	
21.549126785033835,8.221804790572499	20.653305754310367,8.666219777846264	20.2088907670366,7.770398747122795	21.104711797760068,7.325983759849029	
22.787616258729336,9.89085570557856	23.78709135669924,9.858459277719065	23.81948778455873,10.857934375688966	22.820012686588832,10.89033080354846	
12.135227367013549,2.867050620107669	11.244775182053466,2.411973806481864	11.699851995679271,1.5215216215217817	12.590304180639354,1.9765984351475865	
1.7201445849905284,13.025035261825916	2.5709721833959445,13.550480214025166	2.0455272311966946,14.401307812430582	1.1946996327912784,13.875862860231333	
21.96358435078463,7.906891868955817	22.78108129269446,8.482824807732612	22.205148353917664,9.300321749642443	21.387651412007834,8.724388810865648	
4.969408766810801,-10.935866238964984	5.95776691674651,-11.088011457278485	6.109912135060011,-10.099653307342775	5.121553985124302,-9.947508089029276	
8.5291391999869,-16.033890202648262	9.424508776882329,-15.588566364559503	8.97918493879357,-14.693196787664075	8.083815361898141,-15.138520625752834	
22.633812509305436,12.33690739985558	21.85783923305706,11.70614161563107	22.488605017281568,10.930168339382693	23.264578293529944,11.560934123607202	
3.1273896880305685,-3.610045195267766	4.110306592101898,-3.794095078970076	4.294356475804207,-2.811178174898747	3.3114395717328784,-2.627128291196437	
20.519112549431227,7.080807352690755	19.839473175477032,7.8143537529758005	19.105926775191985,7.134714379021605	19.78556614914618,6.4011679787365585	
18.018703505874456,9.6567549329243	17.19548025286194,9.08903715471096	17.76319803107528,8.265813901698444	18.5864212840878,8.833531679911786	
-3.846627795932328,3.7964087751183797	-4.057889630952282,2.818979270210736	-3.080460126044637,2.607717435190782	-2.8691982910246843,3.5851469400984257	
8.255088128191868,-13.53057102268897	7.2995388353453565,-13.235739631991626	7.0047074446480115,-14.191288924838139	7.9602567374945234,-14.486120315535484	
1.3754015934172195,-9.815646513146868	2.0681554886810836,-9.094472442206472	1.3469814177406878,-8.401718546942607	0.6542275224768236,-9.122892617883004	
-9.879940142942013,-6.5854374803674744	-10.81726260256279,-6.933900687450312	-10.468799395479953,-7.871223147071089	-9.531476935859176,-7.522759939988251	
5.318575551450074,-1.4284183006011268	5.994593673029977,-2.1653032979348894	6.73147867036374,-1.4892851763549866	6.055460548783836,-0.7524001790212235	
4.64913018201479,1.5949421289437922	3.7948285641107327,1.0751645364616713	4.314606156592854,0.22086291855761364	5.168907774496911,0.7406405110397346	
5.387817174550381,15.346989402267145	5.12904583692674,16.312928010473936	4.16310722871995,16.054156672850294	4.421878566343591,15.088218064643502	
19.39793662086418,6.7408328716276245	18.60002382025317,7.343605766357554	17.997250925523243,6.545692965746547	18.79516372613425,5.942920071016617	
0.5277689735654754,-10.021797549122613	-0.39797192951649496,-9.64363914268296	-0.7761303359561484,-10.56938004576493	0.14961056712582232,-10.947538452204585	
11.058296099563346,3.7743749625345515	11.228362000621676,4.759807653943366	10.242929309212862,4.929873555001695	10.072863408154532,3.944440863592881	
23.834643157742036,8.806048861182358	23.30959729576329,9.657122796172143	22.458523360773505,9.132076934193396	22.98356922275225,8.281002999203611	
8.192202708015312,0.4125695146948445	8.805518904054399,-0.3772679645856374	9.595356383334881,0.23604823145344975	8.982040187295794,1.025885710733931
