0.3862636366968495,-9.438275962360883	2.356903526522563,-3.6835754119736004	-0.49367050958687975,-8.963180289675977	
5.177629382533116,-3.9249242686287893	4.603606108449716,-4.743763252074603	5.42244509189553,-5.317786526158003	5.99646836597893,-4.498947542712189	
4.498852796901872,-6.191909795848195	3.964122889190062,-5.7292393669265715	3.501452460268438,-6.263969274638381	4.036182367980248,-6.7266397035600045	
0.7487242183411045,-3.6377685787875933	-0.12341505152268084,-4.127026275672848	0.365842645362574,-4.999165545536633	1.2379819152263583,-4.509907848651379	
-6.432889227021725,7.284591218117427	-6.044140917549812,6.69393501364419	-5.453484713076575,7.082683323116103	-5.842233022548488,7.673339527589341	
1.3206552328741452,-3.0958068568768997	1.8867707599323869,-3.9201327693796966	2.7110966724351835,-3.3540172423214547	2.1449811453769416,-2.5296913298186574	
-0.63666632358869,-11.00246629800343	-1.2355229535421062,-10.850444076445251	-1.3875451751002852,-11.449300706398667	-0.7886885451468693,-11.601322927956845	
5.925906891146889,-6.670859538854689	5.072939857747261,-7.192824326875335	5.594904645767907,-8.045791360274963	6.447871679167535,-7.523826572254317	
-3.449165400601771,9.267676134530344	-4.042948740203673,8.883721260083863	-3.658993865757191,8.289937920481961	-3.0652105261552895,8.673892794928443	
-1.2020152592424473,0.33739641622791794	-0.24510312942402934,0.6277740596620829	-0.5354807728581942,1.5846861894805009	-1.4923929026766123,1.2943085460463362	
-2.921817537680581,3.848322452766041	-3.5224298432433896,3.7033918573309355	-3.377499247808284,3.102779551768127	-2.776886942245475,3.2477101472032324	
2.455445791744758,-7.923806814956186	2.1393880858718175,-8.55634734848612	2.771928619401751,-8.87240505435906	3.0879863252746924,-8.239864520829126	
-1.5159081983352287,1.8632548535785833	-0.52529543023559,1.9999528553122274	-0.661993431969234,2.9905656234118663	-1.6526062000688728,2.853867621678222	
7.017046422401238,-4.401238149280861	6.018387896329407,-4.453017955229099	6.0701677022776455,-5.451676481300931	7.068826228349477,-5.399896675352692	
-1.3178887176838145,-0.8013589400264571	-1.738359087907578,-0.34865077039558134	-2.191067257538454,-0.769121140619345	-1.7705968873146904,-1.2218293102502207	
3.4581888465100317,-3.9856695814670218	4.379062709625389,-4.375530233791666	4.768923361950034,-3.4546563706763087	3.8480494988346763,-3.064795718351664	
-8.611813339212132,10.856124689314939	-8.01999664777549,10.050052109619422	-7.213924068079972,10.641868801056065	-7.805740759516615,11.447941380751582	
-3.355724345603708,2.440496122421738	-3.9167617244036808,2.8708878737242647	-4.347153475706207,2.3098504949242917	-3.7861160969062344,1.8794587436217651	
8.037774909227254,-6.0771388385484215	8.508816943051428,-5.549768567893367	7.981446672396374,-5.078726534069193	7.5104046385722,-5.606096804724247	
-3.7822033995080657,11.5938863986099	-4.4892811748245345,11.587481739874825	-4.48287651608946,10.880403964558356	-3.7757987407729914,10.886808623293431	
-0.340762165011542,2.7922910678454524	0.33203676863612297,3.0098723052777405	0.11445553120383478,3.6826712389254057	-0.5583434024438302,3.4650900014931176	
-4.8885044707483525,7.1674170692062305	-4.5799601030432395,6.5311778271302225	-3.9437208609672316,6.839722194835335	-4.252265228672345,7.475961436911343	
-4.121764472165171,1.4019839835754642	-4.720488418581215,1.5545279283082678	-4.873032363314018,0.9558039818922235	-4.274308416897974,0.8032600371594198	
2.5129156954098555,-4.9898150988759555	3.1084338614372555,-4.60855650693164	2.7271752694929394,-4.01303834090424	2.1316571034655394,-4.3942969328485555	
-1.7175001566137915,-3.609700546353789	-2.6033484231597983,-3.1457254945919138	-3.0673234749216736,-4.0315737611379205	-2.1814752083756668,-4.495548812899796	
3.6263832279618384,-9.229082250491402	4.229390704461082,-9.598381564444209	4.5986900184138895,-8.995374087944965	3.9956825419146456,-8.626074773992158	
1.3568637519513693,-2.186298130261962	0.9193009523139056,-2.622507730637827	1.3555105526897708,-3.0600705302752904	1.793073352327234,-2.623860929899426	
4.823652247141377,-6.5640972092341405	4.159905579775765,-6.807901150057589	4.403709520599214,-7.4716478174232	5.067456187964824,-7.227843876599753	
-2.4988805015323283,4.5952611415634195	-3.1308554902033374,4.91244817423386	-3.448042522873777,4.28047318556285	-2.8160675342027686,3.9632861528924104	
2.5605188525339067,-3.758559917209329	3.1042843816718078,-4.210576564382173	3.5563010288446506,-3.666811035244271	3.01253549970675,-3.214794388071428	
-3.8911790892232547,7.465702807114489	-3.1851112834757562,7.5040206056800685	-3.223429082041336,8.210088411427568	-3.9294968877888343,8.171770612861987	
7.915963172208619,-7.966763026151591	8.391244417702644,-7.443210032003295	7.867691423554349,-6.967928786509268	7.392410178060322,-7.491481780657565	
0.9676748495758112,-5.0413335888824164	0.4739624715064053,-5.412801093285829	0.8454299759098176,-5.906513471355234	1.3391423539792229,-5.535045966951823	
-5.65471514365476,11.26116621457017	-5.131744658355892,10.785244087004887	-4.655822530790608,11.308214572303754	-5.178793016089475,11.784136699869038	
9.24702037450304,-6.142445938662824	9.309127243598777,-5.438071935159625	8.604753240095578,-5.375965066063888	8.54264637099984,-6.080339069567088	
-1.6669700868278845,2.71208250886796	-2.0794987415420763,3.089335883988315	-2.456752116662432,2.6768072292741234	-2.04422346194824,2.299553854153768	
-0.5880413761429164,-10.046785170473257	-1.2893786034620849,-10.13693001822542	-1.1992337557099204,-10.83826724554459	-0.49789652839075205,-10.748122397792425	
1.4732982666623702,-8.452599442978768	0.7906530952922689,-8.268220566734536	0.6062742190480372,-8.950865738104637	1.2889193904181384,-9.135244614348869	
-3.773224779238115,3.933375858069798	-4.407956542384204,3.621742116550273	-4.096322800864678,2.9870103534041843	-3.4615910377185894,3.2986440949237097	
-4.8393008472886665,5.546522204319199	-4.195543859027225,5.253986838825456	-3.9030084935334814,5.897743827086898	-4.546765481794923,6.190279192580641	
-1.4928273876029774,11.47660808493497	-2.0149803372804636,11.676248504547585	-2.21462075689308,11.1540955548701	-1.6924678072155936,10.954455135257485	
-2.473257953454972,-1.7110588583112722	-1.9575875079366443,-1.9268921078789187	-1.741754258368998,-1.4112216623605907	-2.2574247038873256,-1.1953884127929444	
7.21427838680326,-8.82443929718633	7.895478630529564,-9.014086938740933	8.085126272084167,-8.332886695014627	7.403926028357862,-8.143239053460025	
2.085973107924527,-8.489224211848054	2.28088607166884,-7.902923132494575	1.6945849923153604,-7.708010168750262	1.4996720285710476,-8.29431124810374	
0.4179043849705746,-9.876732865525295	1.1216113190592578,-9.94599000173165	1.190868455265612,-9.242283067642965	0.4871615211769287,-9.17302593143661	
-0.5170212793442648,-1.852526551824317	0.0011779798579794054,-1.5160602877666969	-0.3352882841996407,-0.9978610285644527	-0.8534875434018849,-1.3343272926220728	
0.2934385845752914,1.515926909218047	-0.3164517683304011,1.417064497153518	-0.21758935626587217,0.8071741442478255	0.39230099663982027,0.9060365563123545	
3.303869424345981,-7.005837654797424	3.7174456325318266,-6.546822688691454	3.2584306664258564,-6.133246480505608	2.844854458240011,-6.5922614466115785
