28.67829731456042,-31.73709556912935	29.778546630077372,-34.52805444444523	32.56950550539325,-33.427805128928284	31.4692561898763,-30.6368462536124	
29.48713728600863,-58.83276889462249	29.607272331862205,-57.086897315508565	27.861400752748278,-56.966762269654986	27.7412657068947,-58.71263384876892	
32.28958008554238,-43.46038154923086	33.15652283256301,-45.262716222200424	34.958857505532585,-44.395773475179794	34.09191475851195,-42.59343880221023	
28.138959557423693,-35.77515572904557	29.6385321070264,-35.810963109263014	29.67433948724384,-34.3113905596603	28.174766937641134,-34.27558317944286	
30.890454453387353,-52.74012269055189	32.42036967293718,-51.4519614347342	31.13220841711948,-49.92204621518437	29.602293197569658,-51.21020747100207	
-23.73808445495394,3.582689555876229	-22.455237482862128,4.772985168820706	-23.645533095806602,6.055832140912519	-24.928380067898416,4.865536527968041	
27.94648823122456,-31.533210446352726	31.3660815545121,-29.45802816440078	30.84728598402411,-28.603129833578894	27.427692660736575,-30.67831211553084	
26.503690239191595,-14.272337731412684	25.07173700756653,-6.4015366322590195	24.08788687017232,-6.580530786212154	25.51984010179739,-14.451331885365816	
22.519775716753696,-64.07505252031163	22.313547076815365,-67.0679557509673	23.31118148703392,-67.13669863094675	23.517410126972255,-64.14379540029107	
25.101292903090883,-56.6401906844913	22.942038463399058,-57.27274128695022	23.574589065857975,-59.43199572664204	25.7338435055498,-58.79944512418313	
2.3328325966694514,-2.1288188826363523	3.310158598442069,-0.9909112034904783	2.172250919296195,-0.01358520171786104	1.1949249175235774,-1.1514928808637346	
33.290571918214454,-40.35058740334496	33.09083655309562,-38.86394495005606	31.60419409980672,-39.06368031517489	31.803929464925552,-40.55032276846379	
29.17802995973612,5.561931868808202	28.86711671818949,7.537617308404031	26.891431278593657,7.226704066857401	27.20234452014029,5.251018627261572	
29.02010488924363,-50.56442049996582	27.031647909733902,-50.778987134462085	27.246214544230167,-52.76744411397181	29.23467152373989,-52.55287747947555	
10.554841969266857,10.492940297107992	8.463803700408233,11.32363817128893	7.633105826227295,9.232599902430307	9.724144095085919,8.401902028249369	
28.05497353831988,-26.96256404651688	26.86307115908216,-28.568605365526906	28.469112478092185,-29.760507744764627	29.661014857329906,-28.154466425754602	
-26.113605844378586,5.253325406142537	-27.331673027863317,3.6670365495601116	-25.745384171280893,2.4489693660753815	-24.527316987796162,4.035258222657807	
-4.330983143136269,-10.972727538704817	-5.3612438304608165,-12.387316848771011	-3.9466545203946257,-13.417577536095559	-2.9163938330700754,-12.002988226029364	
23.78555690045224,13.217666215262739	21.78636695103788,13.274583226433549	21.72944993986707,11.275393277019191	23.72863988928143,11.21847626584838	
-13.427090485029147,7.346626063400734	-15.236675311150357,8.198331855955809	-16.088381103705434,6.388747029834599	-14.278796277584222,5.537041237279524	
26.884490129944776,-16.671356693701632	27.471252963460742,-15.022657395101577	25.822553664860685,-14.435894561585611	25.23579083134472,-16.084593860185667	
25.139150139568887,-50.503803140144385	25.233978694315688,-52.00080265424071	26.730978208412015,-51.9059740994939	26.63614965366521,-50.40897458539758	
27.647538161765727,8.359845795636417	23.77925869404393,9.37788997915792	23.524747648163554,8.410820112227471	27.39302711588535,7.392775928705968	
3.8754858535595993,-5.120274855958627	6.838516090359629,-5.589797822179401	6.995023745766555,-4.60212107657939	4.031993508966524,-4.132598110358616	
28.61567475329468,0.18599175146734126	28.76619549883925,-1.306436975527924	30.258624225834513,-1.1559162299833565	30.108103480289945,0.3365124970119092	
30.52151494920376,-16.49074058391954	30.944132387117616,-15.051506585859762	29.50489838905784,-14.628889147945907	29.082280951143982,-16.068123146005682	
26.71897332410997,-19.496690758087986	26.02018685332218,-21.37064312360957	27.894139218843762,-22.069429594397363	28.592925689631556,-20.195477228875777	
28.5596603198579,3.3221235146846197	27.557319419202024,5.052820691799196	25.826622242087446,4.050479791143319	26.828963142743323,2.3197826140287425	
23.55409892576542,-52.539322008861966	23.00548126847347,-50.61603870520972	21.082197964821226,-51.164656362501674	21.630815622113175,-53.087939666153915	
13.831516657100192,-38.53972776327183	15.29131384212235,-38.88468019274781	15.636266271598332,-37.424883007725654	14.176469086576173,-37.079930578249666	
24.54911641147812,-3.3593516356930166	26.443040577229464,-2.7166609990854167	25.800349940621864,-0.8227368333340745	23.90642577487052,-1.4654274699416743	
20.037054767467044,-53.94888318644263	20.638963084415494,-52.04160597062205	18.73168586859492,-51.439697653673605	18.12977755164647,-53.346974869494176	
27.64073376597179,-57.798511616863166	26.65666182422801,-56.666432815068596	25.524583022433443,-57.65050475681238	26.508654964177225,-58.782583558606945	
33.68892458087204,-31.086066590045228	33.72787682056257,-29.08644594526705	31.728256175784395,-29.04749370557652	31.689303936093864,-31.047114350354697	
12.44863258429248,-41.50352439870197	14.440540447873634,-41.323793869844025	14.260809919015687,-39.33188600626286	12.26890205543453,-39.511616535120815	
26.13144410766434,-23.55633350741551	27.998247368700667,-24.27400027171781	28.71591413300297,-22.407197010681482	26.84911087196664,-21.68953024637918	
5.466837317220449,-25.54806402329156	5.348827602260762,-27.04341472034397	6.844178299313174,-27.16142443530366	6.9621880142728605,-25.666073738251246	
22.888169210455704,-69.565956137176	24.296432988070194,-69.04943592202565	23.77991277291984,-67.64117214441116	22.37164899530535,-68.15769235956151	
32.14849963639362,-55.42810138105018	30.3312904571932,-56.263416171431466	31.166605247574484,-58.08062535063189	32.983814426774906,-57.24531056025061	
-28.20126584048019,6.362803828944621	-29.286348579465592,4.989816046932001	-27.91336079745297,3.9047333079465973	-26.828278058467568,5.2777210899592175	
-0.2990526255436947,8.83301154578352	1.0863300273099559,7.390543208116387	1.8075641961435225,8.083234534543212	0.42218154328987156,9.525702872210346	
5.773653768522497,-21.751446281934655	4.301381784070359,-22.038526765070248	4.588462267205952,-23.510798749522387	6.060734251658088,-23.223718266386793	
27.666650756441644,-1.7827027078358952	28.187076661822438,-0.3758776024981412	26.780251556484682,0.14454830288265064	26.25982565110389,-1.2622768024551032	
-4.800847274521029,-10.252538239340652	-2.8883041527563327,-9.667577721535775	-3.4732646705612105,-7.7550345997710775	-5.385807792325907,-8.339995117575956	
7.296547712801964,-31.123181641606052	6.708133728568904,-28.181452731057192	5.727557425052618,-28.377590725801547	6.315971409285678,-31.319319636350407	
30.57078520568557,-12.272834176663402	31.43131546109066,-18.210804173180094	32.420977127176776,-18.06738246394591	31.560446871771685,-12.129412467429221	
27.382877862206673,-6.496121469776142	25.39527328143954,-6.718445626163854	25.61759743782725,-8.706050206930987	27.605202018594387,-8.483726050543275	
31.273257083055956,-58.33958967325094	31.861988041230312,-59.71922580603636	33.24162417401573,-59.130494847862	32.652893215841374,-57.75085871507658	
15.634357755589935,-38.110348979398736	17.13415443189954,-38.135045734867035	17.158851187367837,-36.63524905855743	15.659054511058233,-36.61055230308913	
29.13380219756576,-6.841067168134188	30.606668111038005,-7.125084774862318	30.890685717766132,-5.652218861390074	29.417819804293888,-5.368201254661945	
29.034739144896346,-20.042904529474917	28.678824285468053,-21.50006773681929	30.135987492812426,-21.855982596247582	30.491902352240718,-20.39881938890321	
30.268078677487477,-19.113152578693217	31.05353203197829,-20.391066123468107	32.33144557675318,-19.605612768977295	31.545992222262367,-18.327699224202405	
33.72738042992687,-28.520502713411197	33.5373481389624,-27.03258882867499	32.04943425422619,-27.222621119639452	32.23946654519066,-28.71053500437566	
-3.4852587561301256,-17.659578676782168	-0.7293277772328612,-16.47431733869914	-1.1244148899272033,-15.55567367906672	-3.8803458688244676,-16.740935017149745	
6.915442564878251,-23.67689486337948	5.416314462329471,-23.625758456109395	5.365178055059385,-25.124886558658176	6.864306157608165,-25.17602296592826	
-2.2982163345439375,-23.980081081503407	-2.551837038821345,-22.50167770679073	-4.030240413534022,-22.75529841106814	-3.7766197092566145,-24.233701785780813	
-16.385265684769422,8.041548470116012	-18.212629094406633,7.228687492384231	-17.806198605540743,6.315005787565625	-15.978835195903532,7.127866765297407	
6.743227159154241,-21.44607532460104	6.622213943673527,-22.941185956520638	8.117324575593125,-23.06219917200135	8.238337791073839,-21.567088540081755	
-25.746939727349705,5.14423916605061	-24.290190208730568,5.501843472516447	-24.647794515196406,6.958592991135584	-26.104544033815543,6.600988684669748	
19.39945843033235,-40.6613597450388	21.39464584195127,-40.52269759260569	21.325314765734714,-39.525103886796224	19.330127354115792,-39.66376603922934	
4.076613847683891,-22.170206723849283	-0.9109671845426428,-22.522393388807092	-0.8405298515510804,-23.519909595252397	4.147051180675453,-23.16772293029459	
27.782083687932715,-33.93871593085811	29.16850235264108,-33.36613992180056	28.595926343583532,-31.979721257092194	27.209507678875166,-32.55229726614974	
31.50087127286341,-45.1181080502268	29.796204885341215,-45.51385103153163	30.191947866646043,-47.218517419053825	31.896614254168234,-46.822774437749
