-13.778927988670631,6.1788197782461936	-11.849002259170517,7.335490292529951	-13.005672773454275,9.265416022030065	-14.935598502954388,8.108745507746308	
-19.17522101055227,-2.2808831985641973	-23.66726353406021,1.6967485047231263	-24.330202151274765,0.9480747508051359	-19.838159627766824,-3.0295569524821873	
-30.70498215387761,-32.4475199106752	-29.570948013548506,-30.80010782847839	-31.218360095745314,-29.666073688149282	-32.35239423607442,-31.31348577034609	
-27.423056686438475,-1.3507652810826016	-24.956466086167016,-3.0583749585711337	-23.248856408678485,-0.5917843582996752	-25.715447008949944,1.1158253191888567	
-36.3668779340975,18.27925201857019	-37.764306441125115,19.332671957505546	-38.81772638006048,17.935243450477934	-37.42029787303286,16.881823511542578	
-25.886521805817292,11.317994106061214	-18.560258226270616,8.104606180054159	-18.158584735519735,9.020389127497495	-25.48484831506641,12.233777053504548	
-30.08947474182483,15.04941188024975	-18.39573778800424,12.3556197474283	-17.72228975479888,15.279053985883449	-29.41602670861947,17.972846118704897	
-6.325062751787343,18.996931232056383	-5.91167535212182,17.817265661736652	-4.732009781802089,18.230653061402172	-5.145397181467611,19.410318631721903	
-22.345640490098,-17.48738752163566	-25.343883400204,-17.384725688420463	-25.446545233419197,-20.382968598526464	-22.448302323313197,-20.48563043174166	
-29.317426730572805,-11.111407848671725	-27.788572282895448,-9.460618922788964	-29.43936120877821,-7.931764475111605	-30.968215656455566,-9.582553400994367	
-2.9928160143101366,41.09371520307889	-4.7314950580338495,40.894981252994874	-4.5327611079498356,39.15630220927116	-2.7940820642261213,39.35503615935517	
-25.858993325965088,-11.110743358008552	-23.69133243766737,-10.507629543422661	-24.29444625225326,-8.339968655124943	-26.462107140550977,-8.943082469710832	
-3.2121311981126226,24.590621690290114	-7.205626829859062,24.81864063516555	-7.433645774734499,20.82514500341911	-3.440150142988058,20.597126058543672	
-33.531364538540885,-35.62161461849027	-32.30602051198839,-35.868661206388424	-32.05897392409024,-34.64331717983593	-33.28431795064273,-34.39627059193778	
3.7085134345248605,-7.847278345733923	3.864268191426943,-5.853352455510724	1.870342301203745,-5.697597698608641	1.7145875443016623,-7.691523588831839	
-19.24896317476934,6.7105273676689805	-22.213962431139286,6.253603512168241	-21.757038575638546,3.2886042557982944	-18.7920393192686,3.7455281112990333	
-3.587228633042791,31.35381275558447	-5.587775581781142,29.118234104341425	-4.8425826980334605,28.451385121428643	-2.8420357492951096,30.68696377267169	
-28.649430794582614,-2.3892594420690045	-23.482823700904845,-5.439861208861674	-22.97439007310607,-4.578760026582051	-28.140997166783833,-1.5281582597893766	
-3.8853871676518708,26.680907795843993	-4.7906000627762575,28.464328557891054	-6.57402082482332,27.55911566276667	-5.668807929698934,25.775694900719607	
-23.872228933971318,-3.737220576291506	-22.378562159915642,-3.8749143237243784	-22.24086841248277,-2.381247549668702	-23.734535186538444,-2.2435538022358292	
-22.74063029446957,-7.48587492706158	-22.456348784859074,-9.212630272584963	-20.729593439335694,-8.928348762974467	-21.01387494894619,-7.201593417451084	
-26.84083687433997,-16.86056357189953	-27.1039370878945,-14.625999122699739	-29.338501537094288,-14.889099336254269	-29.07540132353976,-17.12366378545406	
0.8187047844248028,-17.930871527135288	-0.26468733628303,-16.556549325907284	-1.6390095375110332,-17.63994144661512	-0.5556174168032006,-19.01426364784312	
-8.37582609864264,15.994904734376348	-4.507871396909691,17.01418213790395	-4.762690747791591,17.981170813337187	-8.630645449524541,16.961893409809587	
-22.713413414393546,2.6682315547521043	-20.286235096975425,-0.511203208764099	-19.49137640609637,0.09559137059043188	-21.918554723514497,3.2750261341066347	
-33.26054601296875,17.892529561806143	-36.126178860276774,18.780306777344663	-37.013956075815294,15.914673930036644	-34.14832322850727,15.026896714498122	
-26.079790849377577,1.7008900651131	-27.931492354106965,2.4566688273067236	-28.687271116300586,0.6049673225773373	-26.835569611571202,-0.1508114396162863	
3.4421449879654418,5.649658268783988	3.0640145964788053,4.458223248720299	4.255449616542494,4.080092857233662	4.6335800080291305,5.271527877297351	
5.939226784048287,6.11862374330947	6.19109041938987,8.354482573645706	3.9552315890536347,8.60634620898729	3.703367953712051,6.370487378651054	
1.297693603763939,-14.78212676857898	2.1978840033935856,-7.840249699340817	1.2061872792167043,-7.711651070822297	0.3059968795870587,-14.653528140060459	
-25.04998656137195,-31.810578922570777	-25.523749648582054,-28.848223687762307	-28.486104883390524,-29.321986774972412	-28.01234179618042,-32.284342009780886	
-32.489375136838724,-29.82939976680167	-33.72363754559394,-29.631671907525917	-33.9213654048697,-30.865934316281134	-32.687102996114476,-31.06366217555689	
-7.015170410309409,11.92600199147251	-4.155152852871816,12.831705900677228	-5.060856762076533,15.691723458114819	-7.920874319514126,14.786019548910105	
-26.890029224475736,8.869862273402198	-25.191388829203298,10.345369239684869	-26.666895795485967,12.044009634957309	-28.365536190758405,10.568502668674638	
-13.795830585727991,13.39659973142988	-11.032272509892554,14.563967180644022	-11.421394992963934,15.485153205922503	-14.184953068799372,14.317785756708359	
5.6663760100329625,10.860569021493895	6.686172854508468,11.583420594085254	5.963321281917108,12.60321743856076	4.943524437441603,11.8803658659694	
-30.751462195982818,10.495946622028008	-29.13210383045129,11.159406103822533	-29.795563312245815,12.77876446935406	-31.414921677777343,12.115304987559535	
-3.8832179185876257,1.6949075298151826	-5.118221727348713,1.8879505103806717	-5.311264707914202,0.6529467016195845	-4.076260899153114,0.45990372105409527	
-2.5501127953095306,28.541806132062703	-4.119739506559077,27.768002547597025	-3.3459359220933997,26.198375836347477	-1.7763092108438514,26.972179420813156	
-42.05422211924502,19.183202706940335	-42.27674971444879,17.19562089242984	-40.28916789993829,16.97309329722607	-40.06664030473453,18.960675111736567	
-5.109013084741946,35.96884806632983	-4.368193191388576,34.11111130198136	-2.5104564270401113,34.851931195334735	-3.251276320393482,36.709667959683195	
-12.97426630289819,11.812500448956555	-12.871829638864247,10.817760920305162	-11.877090110212853,10.920197584339103	-11.979526774246796,11.914937112990499	
-6.7707676875402,1.034350976859237	-6.013564392409766,-3.907980777469241	-5.025098041544071,-3.756540118443154	-5.782301336674505,1.185791635885324	
-1.397654942343003,38.992520213437416	-0.13443515512649595,38.18364706566659	0.6744379926443287,39.4468668528831	-0.5887817945721785,40.25574000065392	
-5.76294237020312,32.8370369271411	-6.364543686909633,31.193694036647155	-4.721200796415687,30.592092719940645	-4.119599479709176,32.235435610434585	
-17.429458001020894,9.110218674278904	-15.666556466519856,7.712120616325212	-14.268458408566165,9.475022150826252	-16.0313599430672,10.873120208779943	
-23.289507638020265,-9.839152227607638	-22.24024211444446,-15.746693328694892	-21.25565193092992,-15.571815741432257	-22.304917454505723,-9.664274640345004	
-24.494216572889346,-28.570666696570225	-23.110939479086053,-27.12617907746125	-24.55542709819503,-25.74290198365796	-25.938704191998323,-27.18738960276693	
1.188806663022767,-16.957452547811812	1.7293060445248751,-15.558216892678683	0.3300703893917456,-15.017717511176574	-0.2104289921103626,-16.416953166309703	
-33.26991596370513,-33.93537775978728	-32.28241791759763,-32.19616885659771	-34.0216268207872,-31.208670810490208	-35.0091248668947,-32.947879713679775	
-22.848093564791412,-5.742490562105278	-21.625651698298228,-6.6117637545164225	-20.756378505887085,-5.389321888023239	-21.97882037238027,-4.520048695612095	
3.5600138743479874,1.3440498987654408	5.587800598467567,3.5549503943745	4.850833766597881,4.23087930241436	2.8230470424783007,2.019978806805301	
-10.378365101056808,-7.682039284721714	-9.663650138754885,-5.814103921101827	-10.597617820564828,-5.456746439950866	-11.31233278286675,-7.324681803570753	
-31.189799169257356,-15.324726320901075	-32.23458521796,-16.728621656186547	-30.830689882674534,-17.773407704889195	-29.785903833971883,-16.369512369603722	
-31.100935518761418,-34.81506992144292	-29.361392166705247,-34.62404917304845	-29.552412915099715,-32.88450582099228	-31.291956267155886,-33.07552656938675	
-22.15614826963466,-3.2373062705088103	-21.597909803244022,-4.355729184545281	-20.479486889207553,-3.7974907181546422	-21.03772535559819,-2.679067804118172	
-3.301869801034563,-17.882480895479723	-2.7365314409338195,-16.76762999127836	-3.8513823451351845,-16.202291631177616	-4.416720705235928,-17.31714253537898	
-27.153699281462266,-12.544251654280849	-26.56627529562666,-13.353531000900427	-25.756995949007084,-12.766107015064822	-26.344419934842687,-11.956827668445245	
-9.432389888411961,-4.730049423113215	-8.367828393343407,-0.8743122921332769	-9.331762676088392,-0.6081719183661383	-10.396324171156946,-4.463909049346076	
2.506004451346662,-2.584412707704743	3.465725919765598,-2.865365912092595	3.7466791241534496,-1.9056444436736593	2.786957655734514,-1.6246912392858075	
-25.44678234884158,-21.66299008979596	-26.087036114261338,-17.714563173178938	-27.074142843415594,-17.874626614533877	-26.433889077995836,-21.8230535311509	
-27.649844171747574,-12.017993874734689	-26.103845914565888,-11.198000345009495	-26.92383944429108,-9.652002087827807	-28.469837701472766,-10.471995617553	
-2.603849691572208,1.7318236058539753	-1.2724259296569307,0.23940584724636227	0.2199918289506826,1.5708296091616392	-1.1114319329645947,3.0632473677692524	
-27.573294539915565,9.576493552019798	-28.923133645845603,10.230660494093453	-29.577300587919257,8.880821388163415	-28.22746148198922,8.22665444608976	
-31.409475829672054,8.851420876225745	-30.844226534825346,10.507619304758782	-32.50042496335838,11.072868599605492	-33.06567425820509,9.416670171072456	
-30.44775901442402,-13.503872703701187	-31.297437627657803,-14.420685800364357	-30.380624530994634,-15.270364413598143	-29.53094591776085,-14.353551316934972	
-29.577611558352555,-22.722443099768086	-28.549777908226105,-22.011065571540115	-29.261155436454075,-20.983231921413665	-30.288989086580525,-21.694609449641636	
-30.48551543460033,-21.915491909262812	-31.545672324407683,-20.523167461084874	-32.93799677258562,-21.583324350892227	-31.877839882778268,-22.975648799070164	
-3.3793385828736504,38.68721830363906	-5.34216725757889,39.07101980670395	-5.725968760643786,37.108191131998716	-3.7631400859385478,36.72438962893382	
-10.585190389942554,-7.831255145696016	-11.952001427075608,-11.590487459449886	-11.012193348637139,-11.932190218733147	-9.645382311504086,-8.17295790497928	
4.371320965446785,11.048168078287063	4.224491249489006,9.80682161798206	5.465837709794008,9.659991902024283	5.612667425751787,10.901338362329284	
-21.067444607313067,10.719810701169912	-18.335337923015704,9.480620213142481	-17.92227442700656,10.391322441241604	-20.654381111303923,11.630512929269035	
-14.135814843369499,12.519014136964486	-13.180523251981604,11.712839233222386	-12.374348348239504,12.668130824610282	-13.329639939627398,13.47430572835238	
2.068398208579488,-3.2797152659557938	1.3681191408464644,-4.883494935141984	2.971898810032655,-5.583774002875009	3.672177877765679,-3.9799943336888175	
-32.59612053459922,-28.48776686471553	-33.67222101657464,-27.851757625244694	-34.308230256045476,-28.927858107220114	-33.23212977407006,-29.56386734669095	
-28.0695487057649,-7.221829205209527	-28.027233838128264,-5.472340865157816	-29.776722178179973,-5.43002599752118	-29.81903704581661,-7.179514337572892	
-26.699992783795803,-8.267490172394634	-27.6983464166348,-8.210131443353774	-27.755705145675655,-9.208485076192769	-26.757351512836664,-9.265843805233628	
-4.502247799270378,-16.771464671080626	-5.884062727803015,-16.187865919124846	-6.467661479758794,-17.569680847657484	-5.085846551226157,-18.153279599613263	
-25.194859449975905,-11.921314335035245	-24.190288538805063,-13.035243095966296	-23.076359777874014,-12.030672184795456	-24.080930689044855,-10.916743423864403	
-24.34209629448899,-15.50916625953953	-23.89685510073114,-17.20157882135213	-22.204442538918542,-16.75633762759428	-22.64968373267639,-15.063925065781682	
-1.0819818969082462,33.84436784445559	-0.9129085926674356,35.08288075023942	-2.1514214984512607,35.25195405448022	-2.3204948026920715,34.0134411486964	
-20.08959270631327,3.483901468734068	-19.939535854136683,1.7403467832954795	-18.195981168698097,1.890403635472065	-18.34603802087468,3.633958320910654	
-29.70826448558467,-12.568552622785944	-30.230849185337245,-11.433032816008224	-31.366368992114964,-11.955617515760796	-30.843784292362393,-13.091137322538517	
-32.96812778107797,11.738072996279577	-31.74361200236483,11.98919270415326	-31.994731710238515,13.213708482866394	-33.21924748895165,12.962588774992712	
-43.8940903834845,17.33229279893751	-42.47874571100902,17.829081947465607	-42.97553485953712,19.244426619941088	-44.390879532012605,18.74763747141299	
-22.04132137708913,9.218924896631052	-23.351073765414156,9.950053258327467	-24.082202127110573,8.640300870002438	-22.772449738785543,7.909172508306023	
0.7072165302872904,-18.56450008800417	-0.33356497528925355,-19.25679616458544	0.35873110129201863,-20.297577670161985	1.3995126068685624,-19.605281593580713	
-2.3354714121994533,40.22806985062678	-1.2154668364560046,40.78312818117749	-1.7705251670067117,41.90313275692094	-2.89052974275016,41.34807442637023	
-2.6940478576343168,28.810235434816136	-1.6574966793974277,29.508849530648533	-2.356110775229824,30.54540070888542	-3.392661953466713,29.846786613053023	
-4.337877102333486,33.59365499503018	-5.2427296574334195,35.3772586094942	-6.1345314646654305,34.92483233194423	-5.229678909565497,33.14122871748021	
-22.03447619591717,-10.803379275735114	-21.219374202406318,-11.75106526812639	-20.271688210015043,-10.935963274615538	-21.086790203525894,-9.988277282224264	
-29.4526704722214,-0.4692360765852115	-28.501435226674452,-1.280193231821689	-27.690478071437976,-0.3289579862747427	-28.641713316984923,0.4819991689617349	
-6.685786372632371,19.914270807299474	-8.420009491844214,19.679813619755247	-8.185552304299987,17.945590500543407	-6.451329185088145,18.180047688087633	
-7.965168734768497,13.724406534555541	-9.752472765885805,12.826885336838286	-9.303712167027179,11.93323332127963	-7.516408135909869,12.830754518996887	
-20.86262366191198,-5.127097900628669	-19.839667363559325,-5.8454713492336685	-19.12129391495433,-4.822515050881015	-20.14425021330698,-4.104141602276017	
-26.856105828905488,-21.633977381556576	-27.580086915284284,-20.61498209865985	-28.59908219818101,-21.338963185038647	-27.875101111802213,-22.357958467935372	
-2.209486017675779,25.15504812419764	-3.8450913110145573,26.30604565868769	-4.420590078259582,25.4882430120183	-2.784984784920803,24.337245477528253	
0.14269124212069784,36.247845757412705	-1.046688499559819,36.63239202261364	-1.4312347647607533,35.443012280933125	-0.2418550230802372,35.058466015732186	
-14.286875819562688,4.794435848017237	-14.152677379762128,3.3004509823793367	-12.65869251412423,3.434649422179895	-12.792890953924788,4.928634287817797	
-15.84333316907724,12.600868018069846	-16.30184849359955,14.029070978848951	-17.730051454378653,13.570555654326641	-17.271536129856344,12.142352693547537	
-15.583107333989293,13.512079468244373	-15.120616269695622,12.350786216972969	-13.959323018424218,12.81327728126664	-14.421814082717889,13.974570532538044	
-22.855028426490286,-9.717482065902697	-22.748510236412717,-6.719373683074852	-23.747879697355334,-6.683867619715661	-23.8543978874329,-9.681976002543507	
-4.329688347233201,19.211879834560143	-3.3720791201050337,19.499950256712424	-3.660149542257315,20.45755948384059	-4.617758769385483,20.16948906168831	
-25.307571186074767,-33.664354831210545	-24.060450714641224,-33.57955783992327	-24.1452477059285,-32.33243736848972	-25.392368177362044,-32.417234359777	
-14.311738056260456,6.946223750475625	-15.555934739551976,7.06653423749309	-15.676245226569442,5.822337554201569	-14.43204854327792,5.702027067184104
